series_name,energy_type,vehicle_class,brand_name,sales_tier,total_sales,train_months,val_months,test_months
缤越,燃油,小型SUV,吉利汽车,Q4,486860,32,6,6
皇冠陆放,插电混动,中型SUV,丰田,Q3,229206,34,6,6
欧诺S,燃油,微面,长安凯程,Q2,52281,35,6,6
艾瑞泽8,纯电动,紧凑型车,奇瑞,Q4,434490,32,6,6
格瑞维亚,插电混动,中大型MPV,丰田,Q3,216166,33,6,6
五菱佳辰,插电混动,紧凑型MPV,五菱汽车,Q3,117823,36,6,6
别克GL8,燃油,中大型MPV,别克,Q4,365776,33,6,6
焕驰,燃油,小型车,起亚,Q1,8757,34,6,6
红旗国耀,燃油,大型SUV,红旗,Q1,205,33,6,6
沃尔沃S90,燃油,中大型车,沃尔沃,Q3,122850,33,6,6
凯迪拉克XT6,插电混动,中大型SUV,凯迪拉克,Q2,46173,36,6,6
汉,纯电动,中大型车,比亚迪,Q4,865984,34,6,6
Model Y,纯电动,中型SUV,特斯拉,Q4,855655,36,6,6
e爱丽舍,纯电动,紧凑型车,东风富康,Q1,20213,32,6,6
菱智,燃油,中型MPV,东风风行,Q3,105506,33,6,6
岚图梦想家,插电混动,MPV,岚图汽车,Q3,201915,34,6,6
帕萨特新能源,插电混动,中型车,大众,Q2,43465,34,6,6
传祺M8,燃油,中大型MPV,广汽传祺,Q3,293447,30,6,6
腾势D9,插电混动,MPV,腾势,Q4,352422,31,6,6
蔚来ET5,纯电动,中型车,蔚来,Q2,99590,35,6,6
欧拉好猫,纯电动,小型车,欧拉,Q3,214657,35,6,6
宝马X5,燃油,中大型SUV,宝马,Q4,332907,32,6,6
卡罗拉双擎E+,插电混动,紧凑型车,丰田,Q1,3261,36,6,6
深蓝SL03,增程式,中型车,深蓝汽车,Q3,173638,38,6,6
沃尔沃S90新能源,插电混动,中大型车,沃尔沃,Q1,12204,31,6,6
护卫舰07,插电混动,中型SUV,比亚迪,Q2,80275,33,6,6
ID.6 CROZZ,纯电动,中大型SUV,大众,Q2,42230,34,6,6
铂智4X,纯电动,中型SUV,丰田,Q1,7415,24,6,6
奥德赛,插电混动,中型MPV,本田,Q3,148407,35,6,6
