brand_id,brand_name,series_name,车辆主表series_id,销量表原series_id,统一后series_id,销量数据来源,销量表车系名,核对状态,处理说明,pcauto_id语义,has_sales_data
546.0,仰望,仰望U8L,25717,sg30845,25717,pcauto,仰望U8L,已统一,训练用销量 series_id 已统一为车辆主表 series_id；原值保留在 source_series_id,pcauto_series_id:sg30845,True
384.0,凌宝汽车,凌宝BOX,4503,sg26263,4503,pcauto,凌宝BOX,已统一,训练用销量 series_id 已统一为车辆主表 series_id；原值保留在 source_series_id,pcauto_series_id:sg26263,True
384.0,凌宝汽车,凌宝Uni,5385,sg28623,5385,pcauto,凌宝Uni,已统一,训练用销量 series_id 已统一为车辆主表 series_id；原值保留在 source_series_id,pcauto_series_id:sg28623,True
142.0,凯翼,炫界,4311,sg25771,4311,dongchedi_fill、pcauto,炫界,已统一,训练用销量 series_id 已统一为车辆主表 series_id；原值保留在 source_series_id,pcauto_series_id:sg25771,True
142.0,凯翼,炫界Pro EV,5367,sg28053,5367,pcauto,炫界Pro EV,已统一,训练用销量 series_id 已统一为车辆主表 series_id；原值保留在 source_series_id,pcauto_series_id:sg28053,True
142.0,凯翼,轩度,5033,sg27455,5033,dongchedi_fill、pcauto,轩度,已统一,训练用销量 series_id 已统一为车辆主表 series_id；原值保留在 source_series_id,pcauto_series_id:sg27455,True
30.0,凯迪拉克,IQ傲歌,9186,sg30049,9186,pcauto,IQ傲歌,已统一,训练用销量 series_id 已统一为车辆主表 series_id；原值保留在 source_series_id,pcauto_series_id:sg30049,True
30.0,凯迪拉克,IQ锐歌,5358,sg28281,5358,pcauto,IQ锐歌,已统一,训练用销量 series_id 已统一为车辆主表 series_id；原值保留在 source_series_id,pcauto_series_id:sg28281,True
30.0,凯迪拉克,凯威德,25882,sg31132,25882,pcauto,凯威德,已统一,训练用销量 series_id 已统一为车辆主表 series_id；原值保留在 source_series_id,pcauto_series_id:sg31132,True
30.0,凯迪拉克,凯迪拉克CT4,4182,sg25551,4182,dongchedi_fill、pcauto,凯迪拉克CT4,已统一,训练用销量 series_id 已统一为车辆主表 series_id；原值保留在 source_series_id,pcauto_series_id:sg25551,True
30.0,凯迪拉克,凯迪拉克CT5,3736,sg24885,3736,pcauto,凯迪拉克CT5,已统一,训练用销量 series_id 已统一为车辆主表 series_id；原值保留在 source_series_id,pcauto_series_id:sg24885,True
30.0,凯迪拉克,凯迪拉克CT6,859,sg13088,859,pcauto,凯迪拉克CT6,已统一,训练用销量 series_id 已统一为车辆主表 series_id；原值保留在 source_series_id,pcauto_series_id:sg13088,True
30.0,凯迪拉克,凯迪拉克GT4,5978,sg29304,5978,pcauto,凯迪拉克GT4,已统一,训练用销量 series_id 已统一为车辆主表 series_id；原值保留在 source_series_id,pcauto_series_id:sg29304,True
30.0,凯迪拉克,凯迪拉克XT4,2971,sg23063,2971,pcauto,凯迪拉克XT4,已统一,训练用销量 series_id 已统一为车辆主表 series_id；原值保留在 source_series_id,pcauto_series_id:sg23063,True
30.0,凯迪拉克,凯迪拉克XT5,861,sg13635,861,pcauto,凯迪拉克XT5,已统一,训练用销量 series_id 已统一为车辆主表 series_id；原值保留在 source_series_id,pcauto_series_id:sg13635,True
30.0,凯迪拉克,凯迪拉克XT6,3164,sg24164,3164,pcauto,凯迪拉克XT6,已统一,训练用销量 series_id 已统一为车辆主表 series_id；原值保留在 source_series_id,pcauto_series_id:sg24164,True
368.0,创维汽车,创维HT-i,5871,sg28723,5871,pcauto,创维HT-i,已统一,训练用销量 series_id 已统一为车辆主表 series_id；原值保留在 source_series_id,pcauto_series_id:sg28723,True
12.0,别克,世纪,5935,sg29236,5935,pcauto,世纪,已统一,训练用销量 series_id 已统一为车辆主表 series_id；原值保留在 source_series_id,pcauto_series_id:sg29236,True
12.0,别克,别克E5,6271,sg28813,6271,pcauto,别克E5,已统一,训练用销量 series_id 已统一为车辆主表 series_id；原值保留在 source_series_id,pcauto_series_id:sg28813,True
12.0,别克,别克GL8,353,sg106,353,pcauto,别克GL8,已统一,训练用销量 series_id 已统一为车辆主表 series_id；原值保留在 source_series_id,pcauto_series_id:sg106,True
12.0,别克,君威,348,sg3543,348,pcauto,君威,已统一,训练用销量 series_id 已统一为车辆主表 series_id；原值保留在 source_series_id,pcauto_series_id:sg3543,True
12.0,别克,君越,347,sg3745,347,pcauto,君越,已统一,训练用销量 series_id 已统一为车辆主表 series_id；原值保留在 source_series_id,pcauto_series_id:sg3745,True
12.0,别克,威朗,345,sg12381,345,pcauto,威朗,已统一,训练用销量 series_id 已统一为车辆主表 series_id；原值保留在 source_series_id,pcauto_series_id:sg12381,True
12.0,别克,微蓝6,3359,sg22833,3359,pcauto,微蓝6,已统一,训练用销量 series_id 已统一为车辆主表 series_id；原值保留在 source_series_id,pcauto_series_id:sg22833,True
12.0,别克,昂科威,352,sg11081,352,pcauto,昂科威,已统一,训练用销量 series_id 已统一为车辆主表 series_id；原值保留在 source_series_id,pcauto_series_id:sg11081,True
68.0,北京汽车,北京U5 PLUS,5101,sg27531,5101,pcauto,北京U5 PLUS,已统一,训练用销量 series_id 已统一为车辆主表 series_id；原值保留在 source_series_id,pcauto_series_id:sg27531,True
68.0,北京汽车,北京X7,4422,sg26021,4422,pcauto,北京X7,已统一,训练用销量 series_id 已统一为车辆主表 series_id；原值保留在 source_series_id,pcauto_series_id:sg26021,True
264.0,吉利几何,吉利几何A,3157,sg23643,3157,pcauto,吉利几何A,已统一,训练用销量 series_id 已统一为车辆主表 series_id；原值保留在 source_series_id,pcauto_series_id:sg23643,True
264.0,吉利几何,吉利几何G6,6080,sg29031,6080,dongchedi_fill、pcauto,吉利几何G6,已统一,训练用销量 series_id 已统一为车辆主表 series_id；原值保留在 source_series_id,pcauto_series_id:sg29031,True
264.0,吉利几何,吉利几何M6,6081,sg29041,6081,pcauto,吉利几何M6,已统一,训练用销量 series_id 已统一为车辆主表 series_id；原值保留在 source_series_id,pcauto_series_id:sg29041,True
73.0,吉利汽车,博越,741,sg12714,741,pcauto,博越,已统一,训练用销量 series_id 已统一为车辆主表 series_id；原值保留在 source_series_id,pcauto_series_id:sg12714,True
73.0,吉利汽车,博越L,6025,sg28932,6025,dongchedi_fill、pcauto,博越L,已统一,训练用销量 series_id 已统一为车辆主表 series_id；原值保留在 source_series_id,pcauto_series_id:sg28932,True
73.0,吉利汽车,博越REV,25577,sg31178,25577,pcauto,博越REV,已统一,训练用销量 series_id 已统一为车辆主表 series_id；原值保留在 source_series_id,pcauto_series_id:sg31178,True
73.0,吉利汽车,吉利ICON,2880,sg22969,2880,pcauto,吉利ICON,已统一,训练用销量 series_id 已统一为车辆主表 series_id；原值保留在 source_series_id,pcauto_series_id:sg22969,True
73.0,吉利汽车,星瑞,3476,sg24636,3476,pcauto,星瑞,已统一,训练用销量 series_id 已统一为车辆主表 series_id；原值保留在 source_series_id,pcauto_series_id:sg24636,True
73.0,吉利汽车,星越L,4857,sg27132,4857,pcauto,星越L,已统一,训练用销量 series_id 已统一为车辆主表 series_id；原值保留在 source_series_id,pcauto_series_id:sg27132,True
73.0,吉利汽车,缤瑞,2928,sg22679,2928,pcauto,缤瑞,已统一,训练用销量 series_id 已统一为车辆主表 series_id；原值保留在 source_series_id,pcauto_series_id:sg22679,True
73.0,吉利汽车,缤越,2975,sg22894,2975,pcauto,缤越,已统一,训练用销量 series_id 已统一为车辆主表 series_id；原值保留在 source_series_id,pcauto_series_id:sg22894,True
73.0,吉利汽车,豪越L,6211,sg29207,6211,dongchedi_fill、pcauto,豪越L,已统一,训练用销量 series_id 已统一为车辆主表 series_id；原值保留在 source_series_id,pcauto_series_id:sg29207,True
858.0,吉利银河,银河E5,10026,sg30411,10026,pcauto,银河E5,已统一,训练用销量 series_id 已统一为车辆主表 series_id；原值保留在 source_series_id,pcauto_series_id:sg30411,True
858.0,吉利银河,银河E8,8858,sg29481,8858,pcauto,银河E8,已统一,训练用销量 series_id 已统一为车辆主表 series_id；原值保留在 source_series_id,pcauto_series_id:sg29481,True
858.0,吉利银河,银河L6,8859,sg29476,8859,pcauto,银河L6,已统一,训练用销量 series_id 已统一为车辆主表 series_id；原值保留在 source_series_id,pcauto_series_id:sg29476,True
858.0,吉利银河,银河M7,25871,sg31119,25871,pcauto,银河M7,已统一,训练用销量 series_id 已统一为车辆主表 series_id；原值保留在 source_series_id,pcauto_series_id:sg31119,True
858.0,吉利银河,银河M9,25521,sg29485,25521,pcauto,银河M9,已统一,训练用销量 series_id 已统一为车辆主表 series_id；原值保留在 source_series_id,pcauto_series_id:sg29485,True
858.0,吉利银河,银河V900,25711,sg31093,25711,pcauto,银河V900,已统一,训练用销量 series_id 已统一为车辆主表 series_id；原值保留在 source_series_id,pcauto_series_id:sg31093,True
858.0,吉利银河,银河星耀6,25611,sg30935,25611,pcauto,银河星耀6,已统一,训练用销量 series_id 已统一为车辆主表 series_id；原值保留在 source_series_id,pcauto_series_id:sg30935,True
858.0,吉利银河,银河星耀7,25739,sg31010,25739,pcauto,银河星耀7,已统一,训练用销量 series_id 已统一为车辆主表 series_id；原值保留在 source_series_id,pcauto_series_id:sg31010,True
109.0,启辰,启辰D60,1628,sg21914,1628,pcauto,启辰D60,已统一,训练用销量 series_id 已统一为车辆主表 series_id；原值保留在 source_series_id,pcauto_series_id:sg21914,True
109.0,启辰,启辰D60 EV,3351,sg24403,3351,pcauto,启辰D60EV,已统一,训练用销量 series_id 已统一为车辆主表 series_id；原值保留在 source_series_id,pcauto_series_id:sg24403,False
109.0,启辰,启辰T60 EV,3453,sg24574,3453,dongchedi_fill、pcauto,启辰T60EV,已统一,训练用销量 series_id 已统一为车辆主表 series_id；原值保留在 source_series_id,pcauto_series_id:sg24574,False
109.0,启辰,启辰VX6,6328,sg29422,6328,pcauto,启辰VX6,已统一,训练用销量 series_id 已统一为车辆主表 series_id；原值保留在 source_series_id,pcauto_series_id:sg29422,True
109.0,启辰,启辰大V,5153,sg27693,5153,pcauto,启辰大V,已统一,训练用销量 series_id 已统一为车辆主表 series_id；原值保留在 source_series_id,pcauto_series_id:sg27693,True
109.0,启辰,启辰大V DD-i,6336,sg29414,6336,pcauto,启辰大V DD-i,已统一,训练用销量 series_id 已统一为车辆主表 series_id；原值保留在 source_series_id,pcauto_series_id:sg29414,True
109.0,启辰,启辰星,4276,sg25681,4276,pcauto,启辰星,已统一,训练用销量 series_id 已统一为车辆主表 series_id；原值保留在 source_series_id,pcauto_series_id:sg25681,True
17.0,哈弗,哈弗H5,6321,sg29502,6321,pcauto,哈弗H5,已统一,训练用销量 series_id 已统一为车辆主表 series_id；原值保留在 source_series_id,pcauto_series_id:sg29502,True
17.0,哈弗,哈弗H6,649,sg4580,649,pcauto,哈弗H6,已统一,训练用销量 series_id 已统一为车辆主表 series_id；原值保留在 source_series_id,pcauto_series_id:sg4580,True
17.0,哈弗,哈弗H9,653,sg9626,653,pcauto,哈弗H9,已统一,训练用销量 series_id 已统一为车辆主表 series_id；原值保留在 source_series_id,pcauto_series_id:sg9626,True
17.0,哈弗,哈弗大狗,4563,sg26431,4563,dongchedi_fill、pcauto,哈弗大狗,已统一,训练用销量 series_id 已统一为车辆主表 series_id；原值保留在 source_series_id,pcauto_series_id:sg26431,True
