series_name,brand,category,information_cutoff_inclusive,window_days,current_window_start,previous_window_start,current_reviews,previous_reviews,current_overall_score,previous_overall_score,score_change,current_negative_review_rate,current_rating_reviews,previous_rating_reviews,current_platform_rating,previous_platform_rating,platform_rating_change,eligible_for_alert,text_alert_candidate,text_rule_retrigger_probability,rating_decline_probability,alert_status,alert,alert_id,risk_level,worst_aspect,worst_aspect_zh,worst_aspect_change,worst_aspect_current_score,worst_aspect_previous_score,worst_aspect_current_mentions,worst_aspect_previous_mentions,rule_version
海狮07EV,比亚迪,SUV,2026-04-30,180,2025-11-02,2025-05-06,11,17,-0.12878787878787878,0.12464985994397759,-0.2534377387318564,0.45454545454545453,11,17,4.300000000000001,4.305882352941176,-0.0058823529411755615,True,True,0.435,0.527,watchlist,False,海狮07EV::2026-04,low,control,操控,-1.0,-0.3333333333333333,0.6666666666666666,3,6,v3_dual_signal_bootstrap
海豹,比亚迪,轿车,2024-04-30,180,2023-11-03,2023-05-07,5,14,-0.10714285714285714,0.31096938775510197,-0.4181122448979591,0.6,5,14,3.66,3.878571428571429,-0.21857142857142886,True,True,0.48933333333333334,0.6723333333333333,watchlist,False,海豹::2024-04,high,power,动力,-0.8333333333333334,0.0,0.8333333333333334,2,12,v3_dual_signal_bootstrap
理想MEGA,理想汽车,MPV,2026-02-28,180,2025-09-02,2025-03-06,7,6,-0.1680272108843537,0.24305555555555558,-0.41108276643990926,0.5714285714285714,7,6,4.128571428571429,4.800000000000001,-0.6714285714285717,True,True,0.5186666666666667,0.9306666666666666,watchlist,False,理想MEGA::2026-02,medium,control,操控,-1.3333333333333333,-1.0,0.3333333333333333,3,3,v3_dual_signal_bootstrap
理想MEGA,理想汽车,MPV,2026-03-31,180,2025-10-03,2025-04-06,7,7,-0.1476190476190476,0.18792517006802725,-0.3355442176870749,0.42857142857142855,7,7,4.1571428571428575,4.771428571428572,-0.6142857142857148,True,True,0.336,0.8823333333333333,watchlist,False,理想MEGA::2026-03,medium,space,空间,-1.5,-0.5,1.0,2,4,v3_dual_signal_bootstrap
瑞虎3x,奇瑞,SUV,2024-12-31,180,2024-07-05,2024-01-07,5,6,-0.18333333333333335,0.3527777777777778,-0.5361111111111112,0.6,5,6,3.5,4.033333333333333,-0.5333333333333332,True,True,0.5556666666666666,0.915,watchlist,False,瑞虎3x::2024-12,high,fuel_consumption,能耗/油耗,-1.1,-0.6,0.5,5,4,v3_dual_signal_bootstrap
瑞虎3x,奇瑞,SUV,2025-01-31,180,2024-08-05,2024-02-07,5,6,-0.36666666666666664,0.3416666666666666,-0.7083333333333333,0.6,5,6,3.5,3.9499999999999997,-0.44999999999999973,True,True,0.846,0.9046666666666666,corroborated,True,瑞虎3x::2025-01,high,configuration,配置,-1.6666666666666665,-0.6666666666666666,1.0,3,2,v3_dual_signal_bootstrap
瑞虎3x,奇瑞,SUV,2025-02-28,180,2024-09-02,2024-03-06,5,5,-0.36666666666666664,0.21000000000000002,-0.5766666666666667,0.6,5,5,3.5,4.0600000000000005,-0.5600000000000005,True,True,0.8186666666666667,0.9186666666666666,corroborated,True,瑞虎3x::2025-02,high,configuration,配置,-1.6666666666666665,-0.6666666666666666,1.0,3,2,v3_dual_signal_bootstrap
瑞虎3x,奇瑞,SUV,2025-10-31,180,2025-05-05,2024-11-06,9,6,-0.45370370370370366,-0.04444444444444445,-0.4092592592592592,0.6666666666666666,9,6,3.2666666666666666,3.8166666666666664,-0.5499999999999998,True,True,0.7966666666666666,0.9886666666666667,corroborated,True,瑞虎3x::2025-10,high,control,操控,-0.6666666666666666,-0.3333333333333333,0.3333333333333333,3,3,v3_dual_signal_bootstrap
瑞虎3x,奇瑞,SUV,2025-11-30,180,2025-06-04,2024-12-06,10,6,-0.4083333333333333,-0.04444444444444445,-0.3638888888888889,0.6,10,6,3.2600000000000002,3.8166666666666664,-0.5566666666666662,True,True,0.756,0.9953333333333333,corroborated,True,瑞虎3x::2025-11,high,control,操控,-0.6666666666666666,-0.3333333333333333,0.3333333333333333,3,3,v3_dual_signal_bootstrap
瑞风M3,江淮瑞风,MPV,2022-01-31,180,2021-08-05,2021-02-06,7,7,-0.26666666666666666,0.11785714285714285,-0.3845238095238095,0.5714285714285714,7,6,3.1285714285714286,3.5833333333333335,-0.4547619047619049,True,True,0.6016666666666667,0.9703333333333334,watchlist,False,瑞风M3::2022-01,high,value,性价比,-0.16666666666666663,0.5,0.6666666666666666,2,3,v3_dual_signal_bootstrap
红旗HS7 PHEV,红旗,SUV,2026-05-31,180,2025-12-03,2025-06-06,5,7,-0.2,0.23809523809523808,-0.4380952380952381,0.4,5,7,4.34,4.357142857142857,-0.017142857142856904,True,True,0.38233333333333336,0.5326666666666666,watchlist,False,红旗HS7 PHEV::2026-05,medium,fuel_consumption,能耗/油耗,-0.4,0.0,0.4,2,5,v3_dual_signal_bootstrap
红旗天工08,红旗,SUV,2026-03-31,180,2025-10-03,2025-04-06,5,6,-0.22666666666666666,0.3829365079365079,-0.6096031746031746,0.4,5,6,4.540000000000001,4.416666666666667,0.12333333333333396,True,True,0.4186666666666667,0.198,watchlist,False,红旗天工08::2026-03,high,intelligence,智能化,-0.6666666666666667,-1.0,-0.3333333333333333,3,3,v3_dual_signal_bootstrap
红旗天工08,红旗,SUV,2026-04-30,180,2025-11-02,2025-05-06,5,8,-0.10000000000000005,0.31220238095238095,-0.412202380952381,0.4,5,8,4.619999999999999,4.4125000000000005,0.20749999999999869,True,True,0.3416666666666667,0.10366666666666667,watchlist,False,红旗天工08::2026-04,medium,fuel_consumption,能耗/油耗,-0.5,-0.5,0.0,2,6,v3_dual_signal_bootstrap
荣威iMAX8,荣威,MPV,2023-09-30,180,2023-04-04,2022-10-06,6,14,-0.20158730158730157,0.6648809523809524,-0.8664682539682539,0.6666666666666666,6,14,4.116666666666667,4.442857142857144,-0.3261904761904768,True,True,0.6153333333333333,0.965,watchlist,False,荣威iMAX8::2023-09,high,fuel_consumption,能耗/油耗,-1.8,-1.0,0.8,2,10,v3_dual_signal_bootstrap
荣威iMAX8,荣威,MPV,2023-11-30,180,2023-06-04,2022-12-06,5,12,-0.31047619047619046,0.4763888888888888,-0.7868650793650793,0.8,5,12,4.1,4.275,-0.1750000000000007,True,True,0.805,0.8516666666666667,corroborated,True,荣威iMAX8::2023-11,high,configuration,配置,-1.5,-1.0,0.5,2,10,v3_dual_signal_bootstrap
荣威iMAX8,荣威,MPV,2023-12-31,180,2023-07-05,2023-01-06,6,12,-0.1337301587301587,0.4763888888888888,-0.6101190476190474,0.6666666666666666,6,12,4.216666666666667,4.275,-0.05833333333333357,True,True,0.49833333333333335,0.6413333333333333,watchlist,False,荣威iMAX8::2023-12,high,configuration,配置,-1.5,-1.0,0.5,2,10,v3_dual_signal_bootstrap
起亚K3,起亚,轿车,2024-01-31,180,2023-08-05,2023-02-06,6,11,-0.13333333333333333,0.7295454545454544,-0.8628787878787877,0.5,6,11,4.133333333333334,3.8000000000000003,0.3333333333333335,True,True,0.388,0.028666666666666667,watchlist,False,起亚K3::2024-01,high,comfort,舒适性,-1.125,-0.5,0.625,4,8,v3_dual_signal_bootstrap
起亚K3,起亚,轿车,2024-05-31,180,2023-12-04,2023-06-07,8,6,-0.40625,0.2625,-0.66875,0.75,8,6,3.7874999999999996,4.066666666666667,-0.2791666666666677,True,True,0.903,0.8836666666666667,corroborated,True,起亚K3::2024-05,high,configuration,配置,-1.3333333333333333,-0.3333333333333333,1.0,6,3,v3_dual_signal_bootstrap
起亚K3,起亚,轿车,2024-06-30,180,2024-01-03,2023-07-07,7,7,-0.2976190476190476,0.010714285714285723,-0.30833333333333335,0.5714285714285714,7,7,3.8000000000000003,4.057142857142857,-0.2571428571428567,True,True,0.559,0.8666666666666667,watchlist,False,起亚K3::2024-06,high,configuration,配置,-1.4285714285714286,-0.42857142857142855,1.0,7,3,v3_dual_signal_bootstrap
起亚K3,起亚,轿车,2024-07-31,180,2024-02-03,2023-08-07,7,6,-0.2976190476190476,-0.13333333333333333,-0.16428571428571428,0.5714285714285714,7,6,3.8000000000000003,4.133333333333334,-0.3333333333333335,True,True,0.434,0.9326666666666666,watchlist,False,起亚K3::2024-07,high,configuration,配置,-1.4285714285714286,-0.42857142857142855,1.0,7,2,v3_dual_signal_bootstrap
长安UNI-K,长安,SUV,2025-12-31,180,2025-07-05,2025-01-06,7,5,-0.10204081632653063,0.1333333333333333,-0.23537414965986392,0.42857142857142855,7,5,3.928571428571428,4.08,-0.15142857142857213,True,True,0.22366666666666668,0.6343333333333333,watchlist,False,长安UNI-K::2025-12,low,power,动力,-1.0,0.0,1.0,4,2,v3_dual_signal_bootstrap
长安UNI-K,长安,SUV,2026-01-31,180,2025-08-05,2025-02-06,6,5,-0.21904761904761905,0.4533333333333333,-0.6723809523809523,0.5,6,5,3.933333333333333,4.1,-0.16666666666666652,True,True,0.44333333333333336,0.6236666666666667,watchlist,False,长安UNI-K::2026-01,high,power,动力,-1.3333333333333333,-0.3333333333333333,1.0,3,3,v3_dual_signal_bootstrap
