series_name,series_id,source_series_id,brand,date,raw_sales,source_sales,source_observation_count,source_value_count,source_identity_match,source_urls,comparison_status,sales_delta
哪吒AYA,30064,sg30064,哪吒汽车,2024-10-01,1217,1217,1,1,True,https://price.pcauto.com.cn/salescar/sg30064/y2024-m12/,exact_match,0.0
哪吒AYA,30064,sg30064,哪吒汽车,2024-11-01,259,259,1,1,True,https://price.pcauto.com.cn/salescar/sg30064/y2024-m12/,exact_match,0.0
哪吒AYA,30064,sg30064,哪吒汽车,2024-12-01,49,49,1,1,True,https://price.pcauto.com.cn/salescar/sg30064/y2024-m12/,exact_match,0.0
哪吒AYA,30064,sg30064,哪吒汽车,2025-01-01,0,,1,0,True,https://price.pcauto.com.cn/salescar/sg30064/y2025-m6/,source_missing,
哪吒AYA,30064,sg30064,哪吒汽车,2025-02-01,0,,1,0,True,https://price.pcauto.com.cn/salescar/sg30064/y2025-m6/,source_missing,
哪吒AYA,30064,sg30064,哪吒汽车,2025-03-01,0,,1,0,True,https://price.pcauto.com.cn/salescar/sg30064/y2025-m6/,source_missing,
哪吒AYA,30064,sg30064,哪吒汽车,2025-04-01,0,,1,0,True,https://price.pcauto.com.cn/salescar/sg30064/y2025-m6/,source_missing,
哪吒AYA,30064,sg30064,哪吒汽车,2025-05-01,0,,1,0,True,https://price.pcauto.com.cn/salescar/sg30064/y2025-m6/,source_missing,
哪吒AYA,30064,sg30064,哪吒汽车,2025-06-01,0,,1,0,True,https://price.pcauto.com.cn/salescar/sg30064/y2025-m6/,source_missing,
哪吒AYA,30064,sg30064,哪吒汽车,2025-07-01,0,,1,0,True,https://price.pcauto.com.cn/salescar/sg30064/y2025-m12/,source_missing,
哪吒AYA,30064,sg30064,哪吒汽车,2025-08-01,0,,1,0,True,https://price.pcauto.com.cn/salescar/sg30064/y2025-m12/,source_missing,
哪吒AYA,30064,sg30064,哪吒汽车,2025-09-01,0,,1,0,True,https://price.pcauto.com.cn/salescar/sg30064/y2025-m12/,source_missing,
哪吒AYA,30064,sg30064,哪吒汽车,2025-10-01,0,,1,0,True,https://price.pcauto.com.cn/salescar/sg30064/y2025-m12/,source_missing,
哪吒AYA,30064,sg30064,哪吒汽车,2025-11-01,0,,1,0,True,https://price.pcauto.com.cn/salescar/sg30064/y2025-m12/,source_missing,
哪吒AYA,30064,sg30064,哪吒汽车,2025-12-01,0,,1,0,True,https://price.pcauto.com.cn/salescar/sg30064/y2025-m12/,source_missing,
哪吒AYA,30064,sg30064,哪吒汽车,2026-01-01,0,,1,0,True,https://price.pcauto.com.cn/salescar/sg30064/y2026-m6/,source_missing,
哪吒AYA,30064,sg30064,哪吒汽车,2026-02-01,0,,1,0,True,https://price.pcauto.com.cn/salescar/sg30064/y2026-m6/,source_missing,
哪吒AYA,30064,sg30064,哪吒汽车,2026-03-01,0,,1,0,True,https://price.pcauto.com.cn/salescar/sg30064/y2026-m6/,source_missing,
哪吒AYA,30064,sg30064,哪吒汽车,2026-04-01,0,,1,0,True,https://price.pcauto.com.cn/salescar/sg30064/y2026-m6/,source_missing,
哪吒AYA,30064,sg30064,哪吒汽车,2026-05-01,0,,1,0,True,https://price.pcauto.com.cn/salescar/sg30064/y2026-m6/,source_missing,
哪吒AYA,30064,sg30064,哪吒汽车,2026-06-01,0,,1,0,True,https://price.pcauto.com.cn/salescar/sg30064/y2026-m6/,source_missing,
奔奔E-Star,26061,sg26061,长安欧尚,2022-01-01,9852,9852,1,1,True,https://price.pcauto.com.cn/salescar/sg26061/y2022-m6/,exact_match,0.0
奔奔E-Star,26061,sg26061,长安欧尚,2022-02-01,5613,5613,1,1,True,https://price.pcauto.com.cn/salescar/sg26061/y2022-m6/,exact_match,0.0
奔奔E-Star,26061,sg26061,长安欧尚,2022-03-01,10707,10707,1,1,True,https://price.pcauto.com.cn/salescar/sg26061/y2022-m6/,exact_match,0.0
奔奔E-Star,26061,sg26061,长安欧尚,2022-04-01,6692,6692,1,1,True,https://price.pcauto.com.cn/salescar/sg26061/y2022-m6/,exact_match,0.0
奔奔E-Star,26061,sg26061,长安欧尚,2022-05-01,8429,8429,1,1,True,https://price.pcauto.com.cn/salescar/sg26061/y2022-m6/,exact_match,0.0
奔奔E-Star,26061,sg26061,长安欧尚,2022-06-01,10088,10088,1,1,True,https://price.pcauto.com.cn/salescar/sg26061/y2022-m6/,exact_match,0.0
奔奔E-Star,26061,sg26061,长安欧尚,2022-07-01,8726,8726,1,1,True,https://price.pcauto.com.cn/salescar/sg26061/y2022-m12/,exact_match,0.0
奔奔E-Star,26061,sg26061,长安欧尚,2022-08-01,3880,3880,1,1,True,https://price.pcauto.com.cn/salescar/sg26061/y2022-m12/,exact_match,0.0
奔奔E-Star,26061,sg26061,长安欧尚,2022-09-01,6655,6655,1,1,True,https://price.pcauto.com.cn/salescar/sg26061/y2022-m12/,exact_match,0.0
奔奔E-Star,26061,sg26061,长安欧尚,2022-10-01,9664,9664,1,1,True,https://price.pcauto.com.cn/salescar/sg26061/y2022-m12/,exact_match,0.0
奔奔E-Star,26061,sg26061,长安欧尚,2022-11-01,5451,5451,1,1,True,https://price.pcauto.com.cn/salescar/sg26061/y2022-m12/,exact_match,0.0
奔奔E-Star,26061,sg26061,长安欧尚,2022-12-01,6349,6349,1,1,True,https://price.pcauto.com.cn/salescar/sg26061/y2022-m12/,exact_match,0.0
奔奔E-Star,26061,sg26061,长安欧尚,2023-01-01,4683,4683,1,1,True,https://price.pcauto.com.cn/salescar/sg26061/y2023-m6/,exact_match,0.0
奔奔E-Star,26061,sg26061,长安欧尚,2023-02-01,0,,1,0,True,https://price.pcauto.com.cn/salescar/sg26061/y2023-m6/,source_missing,
奔奔E-Star,26061,sg26061,长安欧尚,2023-03-01,14,14,1,1,True,https://price.pcauto.com.cn/salescar/sg26061/y2023-m6/,exact_match,0.0
奔奔E-Star,26061,sg26061,长安欧尚,2023-04-01,42,42,1,1,True,https://price.pcauto.com.cn/salescar/sg26061/y2023-m6/,exact_match,0.0
奔奔E-Star,26061,sg26061,长安欧尚,2023-05-01,771,771,1,1,True,https://price.pcauto.com.cn/salescar/sg26061/y2023-m6/,exact_match,0.0
奔奔E-Star,26061,sg26061,长安欧尚,2023-06-01,936,936,1,1,True,https://price.pcauto.com.cn/salescar/sg26061/y2023-m6/,exact_match,0.0
奔奔E-Star,26061,sg26061,长安欧尚,2023-07-01,538,538,1,1,True,https://price.pcauto.com.cn/salescar/sg26061/y2023-m12/,exact_match,0.0
奔奔E-Star,26061,sg26061,长安欧尚,2023-08-01,1169,1169,1,1,True,https://price.pcauto.com.cn/salescar/sg26061/y2023-m12/,exact_match,0.0
