series_name,source_series_id,anchor_month,source_url,http_status,fetched_at,cache_path,content_sha256,error,fetch_status,source_series_name,identity_match,parsed_months,parse_error
奔奔E-Star,sg26061,2025-06-01,https://price.pcauto.com.cn/salescar/sg26061/y2025-m6/,200,2026-08-28T23:33:30+08:00,data/raw/pcauto_sales_recrawl/sg26061/y2025-m6.html,173722db91a016a64c28ad63e03342a8849f79a43000ba4011ee7117d48f7f95,,cached,奔奔E-Star,True,6,
奔奔E-Star,sg26061,2025-12-01,https://price.pcauto.com.cn/salescar/sg26061/y2025-m12/,200,2026-08-28T23:33:31+08:00,data/raw/pcauto_sales_recrawl/sg26061/y2025-m12.html,8e4081d4aa03018a5339f8348e63e167d3ab4d7ce4b1c9b144eb18ca3296db90,,cached,奔奔E-Star,True,6,
奔奔E-Star,sg26061,2026-06-01,https://price.pcauto.com.cn/salescar/sg26061/y2026-m6/,200,2026-08-28T23:33:33+08:00,data/raw/pcauto_sales_recrawl/sg26061/y2026-m6.html,35725cb64032f8e06ecff033d75570a7cf311e28a819642239044c2b9f4d82e0,,cached,奔奔E-Star,True,6,
摩卡,sg27201,2022-06-01,https://price.pcauto.com.cn/salescar/sg27201/y2022-m6/,200,2026-08-28T23:33:35+08:00,data/raw/pcauto_sales_recrawl/sg27201/y2022-m6.html,a51f9064d50bde14f9bf4fde035d89385a5a4064a7a7991865146123862ee325,,cached,摩卡,True,6,
摩卡,sg27201,2022-12-01,https://price.pcauto.com.cn/salescar/sg27201/y2022-m12/,200,2026-08-28T23:33:37+08:00,data/raw/pcauto_sales_recrawl/sg27201/y2022-m12.html,d2500658a4bb2f8bdfd30090606dbc9f47ab4f17acade5e983de597f8a5f4acf,,cached,摩卡,True,6,
摩卡,sg27201,2023-06-01,https://price.pcauto.com.cn/salescar/sg27201/y2023-m6/,200,2026-08-28T23:33:39+08:00,data/raw/pcauto_sales_recrawl/sg27201/y2023-m6.html,674e5a0b12b15af49f9c6aad80cb847c4bb3ac5e6b710c6267f1dc6ac25a9bfc,,cached,摩卡,True,6,
摩卡,sg27201,2023-12-01,https://price.pcauto.com.cn/salescar/sg27201/y2023-m12/,200,2026-08-28T23:33:40+08:00,data/raw/pcauto_sales_recrawl/sg27201/y2023-m12.html,c16958c8c77da9ee02edd7bb979d94195068a8607c591aec39df23541f14f63e,,cached,摩卡,True,6,
摩卡,sg27201,2024-06-01,https://price.pcauto.com.cn/salescar/sg27201/y2024-m6/,200,2026-08-28T23:33:42+08:00,data/raw/pcauto_sales_recrawl/sg27201/y2024-m6.html,c0f49690b20bc83c03f5ab008dd98aabbb69e5eda2b5b879280fedc3715f4707,,cached,摩卡,True,6,
摩卡,sg27201,2024-12-01,https://price.pcauto.com.cn/salescar/sg27201/y2024-m12/,200,2026-08-28T23:33:43+08:00,data/raw/pcauto_sales_recrawl/sg27201/y2024-m12.html,c7403c8dc69564c317b498df689c770d70d7700849f178b05c94e32fe965a508,,cached,摩卡,True,6,
摩卡,sg27201,2025-06-01,https://price.pcauto.com.cn/salescar/sg27201/y2025-m6/,200,2026-08-28T23:33:45+08:00,data/raw/pcauto_sales_recrawl/sg27201/y2025-m6.html,d18cc6d4d4b63a0d6eee11c511a4f655b1b08b11a66b59579ed3f37ea11993e3,,cached,摩卡,True,6,
摩卡,sg27201,2025-12-01,https://price.pcauto.com.cn/salescar/sg27201/y2025-m12/,200,2026-08-28T23:33:47+08:00,data/raw/pcauto_sales_recrawl/sg27201/y2025-m12.html,8cff972fa103fbc6eb70aa58e0bbc11e42ec85b4df2ee5b97696faa47a72cefd,,cached,摩卡,True,6,
摩卡,sg27201,2026-06-01,https://price.pcauto.com.cn/salescar/sg27201/y2026-m6/,200,2026-08-28T23:33:49+08:00,data/raw/pcauto_sales_recrawl/sg27201/y2026-m6.html,49028d40b89460bdf70b8227fbeb889a0a18315c591843a152bfff9d13e1431d,,cached,摩卡,True,6,
五菱宏光,sg4613,2022-06-01,https://price.pcauto.com.cn/salescar/sg4613/y2022-m6/,200,2026-08-28T23:33:50+08:00,data/raw/pcauto_sales_recrawl/sg4613/y2022-m6.html,29167b22202fc6f085707178fcff6e9cb3111d3c33ae991b333c2baec5800292,,cached,五菱宏光,True,6,
五菱宏光,sg4613,2022-12-01,https://price.pcauto.com.cn/salescar/sg4613/y2022-m12/,200,2026-08-28T23:33:53+08:00,data/raw/pcauto_sales_recrawl/sg4613/y2022-m12.html,da29710333b761c17387764e22bd1f86e291de0141223f6b63567990f165530b,,cached,五菱宏光,True,6,
五菱宏光,sg4613,2023-06-01,https://price.pcauto.com.cn/salescar/sg4613/y2023-m6/,200,2026-08-28T23:33:55+08:00,data/raw/pcauto_sales_recrawl/sg4613/y2023-m6.html,ef405c095cbe6fa7e59e0f055a707c90f7378ce77fbe3a978a71778b2cbbd695,,cached,五菱宏光,True,6,
五菱宏光,sg4613,2023-12-01,https://price.pcauto.com.cn/salescar/sg4613/y2023-m12/,200,2026-08-28T23:33:56+08:00,data/raw/pcauto_sales_recrawl/sg4613/y2023-m12.html,e26308c2255c9d6346ef425ba4ea958c49937a2e9a905ecf307c8c66111c1658,,cached,五菱宏光,True,6,
五菱宏光,sg4613,2024-06-01,https://price.pcauto.com.cn/salescar/sg4613/y2024-m6/,200,2026-08-28T23:33:59+08:00,data/raw/pcauto_sales_recrawl/sg4613/y2024-m6.html,0ebce944b7e4a33ffb0713472bd210f4eef4a608fb852a7a50c19a9ebba9ed03,,cached,五菱宏光,True,6,
五菱宏光,sg4613,2024-12-01,https://price.pcauto.com.cn/salescar/sg4613/y2024-m12/,200,2026-08-28T23:34:00+08:00,data/raw/pcauto_sales_recrawl/sg4613/y2024-m12.html,99947101b4cf478fa444226fb98ec890d05a484cd5d5309e4fc52ae4561712b1,,cached,五菱宏光,True,6,
五菱宏光,sg4613,2025-06-01,https://price.pcauto.com.cn/salescar/sg4613/y2025-m6/,200,2026-08-28T23:34:02+08:00,data/raw/pcauto_sales_recrawl/sg4613/y2025-m6.html,75b07bb84c9fb43dda596d5ba27f0e0ce7eba344d456ca82b890204474667467,,cached,五菱宏光,True,6,
