role,series_name,expected_source_name,expected_identity_text,source_name,source_url,mapping_status,fetched_at,returned_source_name,date,source_sales,current_sales,difference,comparison
calibration,Model Y,Model Y,特斯拉,车主手册,https://www.icauto.com.cn/rank/car_1692.html,mapped,2026-08-29T11:00:56+08:00,Model Y,2023-09-01,41428,41428.0,0.0,exact
calibration,Model Y,Model Y,特斯拉,车主手册,https://www.icauto.com.cn/rank/car_1692.html,mapped,2026-08-29T11:00:56+08:00,Model Y,2023-10-01,26353,26353.0,0.0,exact
calibration,Model Y,Model Y,特斯拉,车主手册,https://www.icauto.com.cn/rank/car_1692.html,mapped,2026-08-29T11:00:56+08:00,Model Y,2023-11-01,49877,49877.0,0.0,exact
calibration,Model Y,Model Y,特斯拉,车主手册,https://www.icauto.com.cn/rank/car_1692.html,mapped,2026-08-29T11:00:56+08:00,Model Y,2023-12-01,60055,60055.0,0.0,exact
calibration,Model Y,Model Y,特斯拉,车主手册,https://www.icauto.com.cn/rank/car_1692.html,mapped,2026-08-29T11:00:56+08:00,Model Y,2024-01-01,29912,29912.0,0.0,exact
calibration,Model Y,Model Y,特斯拉,车主手册,https://www.icauto.com.cn/rank/car_1692.html,mapped,2026-08-29T11:00:56+08:00,Model Y,2024-02-01,22537,22537.0,0.0,exact
calibration,Model Y,Model Y,特斯拉,车主手册,https://www.icauto.com.cn/rank/car_1692.html,mapped,2026-08-29T11:00:56+08:00,Model Y,2024-03-01,47917,47917.0,0.0,exact
calibration,Model Y,Model Y,特斯拉,车主手册,https://www.icauto.com.cn/rank/car_1692.html,mapped,2026-08-29T11:00:56+08:00,Model Y,2024-04-01,26356,26356.0,0.0,exact
calibration,Model Y,Model Y,特斯拉,车主手册,https://www.icauto.com.cn/rank/car_1692.html,mapped,2026-08-29T11:00:56+08:00,Model Y,2024-05-01,39985,39985.0,0.0,exact
calibration,Model Y,Model Y,特斯拉,车主手册,https://www.icauto.com.cn/rank/car_1692.html,mapped,2026-08-29T11:00:56+08:00,Model Y,2024-06-01,41110,41110.0,0.0,exact
calibration,Model Y,Model Y,特斯拉,车主手册,https://www.icauto.com.cn/rank/car_1692.html,mapped,2026-08-29T11:00:56+08:00,Model Y,2024-07-01,36299,36299.0,0.0,exact
calibration,Model Y,Model Y,特斯拉,车主手册,https://www.icauto.com.cn/rank/car_1692.html,mapped,2026-08-29T11:00:56+08:00,Model Y,2024-08-01,45330,45330.0,0.0,exact
