role,series_name,expected_source_name,expected_identity_text,source_name,source_url,mapping_status,fetched_at,returned_source_name,date,source_sales
calibration,Model 3,Model 3,特斯拉,车主手册,https://www.icauto.com.cn/rank/car_985.html,mapped,2026-08-29T15:42:55+08:00,Model 3,2023-04-01,13196
calibration,Model 3,Model 3,特斯拉,车主手册,https://www.icauto.com.cn/rank/car_985.html,mapped,2026-08-29T15:42:55+08:00,Model 3,2023-05-01,11454
calibration,Model 3,Model 3,特斯拉,车主手册,https://www.icauto.com.cn/rank/car_985.html,mapped,2026-08-29T15:42:55+08:00,Model 3,2023-06-01,22741
calibration,Model 3,Model 3,特斯拉,车主手册,https://www.icauto.com.cn/rank/car_985.html,mapped,2026-08-29T15:42:55+08:00,Model 3,2023-07-01,7791
calibration,Model 3,Model 3,特斯拉,车主手册,https://www.icauto.com.cn/rank/car_985.html,mapped,2026-08-29T15:42:55+08:00,Model 3,2023-08-01,13577
calibration,Model 3,Model 3,特斯拉,车主手册,https://www.icauto.com.cn/rank/car_985.html,mapped,2026-08-29T15:42:55+08:00,Model 3,2023-09-01,2079
calibration,Model 3,Model 3,特斯拉,车主手册,https://www.icauto.com.cn/rank/car_985.html,mapped,2026-08-29T15:42:55+08:00,Model 3,2023-10-01,2273
calibration,Model 3,Model 3,特斯拉,车主手册,https://www.icauto.com.cn/rank/car_985.html,mapped,2026-08-29T15:42:55+08:00,Model 3,2023-11-01,15627
calibration,Model 3,Model 3,特斯拉,车主手册,https://www.icauto.com.cn/rank/car_985.html,mapped,2026-08-29T15:42:55+08:00,Model 3,2023-12-01,15750
target,长安CS55PLUS,长安CS55 PLUS,长安,车主手册,https://www.icauto.com.cn/rank/car_1432.html,mapped,2026-08-29T15:42:55+08:00,长安CS55 PLUS,2025-01-01,5445
target,长安CS55PLUS,长安CS55 PLUS,长安,车主手册,https://www.icauto.com.cn/rank/car_1432.html,mapped,2026-08-29T15:42:55+08:00,长安CS55 PLUS,2025-02-01,2478
target,长安CS55PLUS,长安CS55 PLUS,长安,车主手册,https://www.icauto.com.cn/rank/car_1432.html,mapped,2026-08-29T15:42:55+08:00,长安CS55 PLUS,2025-03-01,3331
target,长安CS55PLUS,长安CS55 PLUS,长安,车主手册,https://www.icauto.com.cn/rank/car_1432.html,mapped,2026-08-29T15:42:55+08:00,长安CS55 PLUS,2025-04-01,5514
target,长安CS55PLUS,长安CS55 PLUS,长安,车主手册,https://www.icauto.com.cn/rank/car_1432.html,mapped,2026-08-29T15:42:55+08:00,长安CS55 PLUS,2025-05-01,7932
target,长安CS55PLUS,长安CS55 PLUS,长安,车主手册,https://www.icauto.com.cn/rank/car_1432.html,mapped,2026-08-29T15:42:55+08:00,长安CS55 PLUS,2025-06-01,7180
target,长安CS55PLUS,长安CS55 PLUS,长安,车主手册,https://www.icauto.com.cn/rank/car_1432.html,mapped,2026-08-29T15:42:55+08:00,长安CS55 PLUS,2025-07-01,5943
target,长安CS55PLUS,长安CS55 PLUS,长安,车主手册,https://www.icauto.com.cn/rank/car_1432.html,mapped,2026-08-29T15:42:55+08:00,长安CS55 PLUS,2025-08-01,4323
target,长安CS55PLUS,长安CS55 PLUS,长安,车主手册,https://www.icauto.com.cn/rank/car_1432.html,mapped,2026-08-29T15:42:55+08:00,长安CS55 PLUS,2025-09-01,5831
target,长安CS55PLUS,长安CS55 PLUS,长安,车主手册,https://www.icauto.com.cn/rank/car_1432.html,mapped,2026-08-29T15:42:55+08:00,长安CS55 PLUS,2025-10-01,4722
target,长安CS55PLUS,长安CS55 PLUS,长安,车主手册,https://www.icauto.com.cn/rank/car_1432.html,mapped,2026-08-29T15:42:55+08:00,长安CS55 PLUS,2025-11-01,4625
target,长安CS55PLUS,长安CS55 PLUS,长安,车主手册,https://www.icauto.com.cn/rank/car_1432.html,mapped,2026-08-29T15:42:55+08:00,长安CS55 PLUS,2025-12-01,4443
target,长安CS55PLUS,长安CS55 PLUS,长安,车主手册,https://www.icauto.com.cn/rank/car_1432.html,mapped,2026-08-29T15:42:55+08:00,长安CS55 PLUS,2024-01-01,11934
target,长安CS55PLUS,长安CS55 PLUS,长安,车主手册,https://www.icauto.com.cn/rank/car_1432.html,mapped,2026-08-29T15:42:55+08:00,长安CS55 PLUS,2024-02-01,5545
target,长安CS55PLUS,长安CS55 PLUS,长安,车主手册,https://www.icauto.com.cn/rank/car_1432.html,mapped,2026-08-29T15:42:55+08:00,长安CS55 PLUS,2024-03-01,4795
