series_name,date,sentiment_review_count_prior_all,sentiment_review_count_180d,sentiment_available_prior,sentiment_available_180d,platform_rating_overall_sentiment_180d_mean,platform_rating_overall_polarity_180d_mean,text_global_polarity_180d_mean,platform_rating_appearance_sentiment_180d_mean,text_appearance_polarity_180d_mean,platform_rating_interior_sentiment_180d_mean,text_interior_polarity_180d_mean,platform_rating_space_sentiment_180d_mean,text_space_polarity_180d_mean,platform_rating_power_sentiment_180d_mean,text_power_polarity_180d_mean,platform_rating_control_sentiment_180d_mean,text_control_polarity_180d_mean,platform_rating_comfort_sentiment_180d_mean,text_comfort_polarity_180d_mean,platform_rating_fuel_consumption_sentiment_180d_mean,text_fuel_consumption_polarity_180d_mean,platform_rating_configuration_sentiment_180d_mean,text_configuration_polarity_180d_mean,platform_rating_intelligence_sentiment_180d_mean,text_intelligence_polarity_180d_mean,platform_rating_value_sentiment_180d_mean,text_value_polarity_180d_mean,text_appearance_mentioned_180d_count,text_interior_mentioned_180d_count,text_space_mentioned_180d_count,text_power_mentioned_180d_count,text_control_mentioned_180d_count,text_comfort_mentioned_180d_count,text_fuel_consumption_mentioned_180d_count,text_configuration_mentioned_180d_count,text_intelligence_mentioned_180d_count,text_value_mentioned_180d_count
冠道,2022-04-01,68,10,1,1,0.565,0.2,0.3,0.8,0.5,0.525,0.5555555555555556,0.875,0.7777777777777778,0.35714285714285715,-0.2222222222222222,0.35714285714285715,-0.25,0.6071428571428571,0.2222222222222222,,0.0,0.275,0.2857142857142857,,0.0,,-0.6,8,9,9,9,4,9,5,7,2,5
凌宝BOX,2022-04-01,3,2,1,1,0.25,-0.5,0.0,0.625,0.0,0.125,0.0,0.5,1.0,0.125,0.0,0.125,1.0,0.25,0.0,,0.0,0.0,1.0,,,,,1,1,1,1,1,2,1,1,0,0
凌尚,2022-04-01,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0
凌放HARRIER,2022-04-01,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0
凌渡,2022-04-01,74,13,1,1,0.34230769230769226,-0.23076923076923078,0.0,0.75,0.6,0.2692307692307692,-0.14285714285714285,-0.057692307692307696,-0.09090909090909091,0.5,-0.16666666666666666,0.5625,0.16666666666666666,0.1875,0.08333333333333333,,0.1,0.1346153846153846,0.2,,0.0,,0.25,10,7,11,12,12,12,10,10,4,12
凡尔赛C5 X,2022-04-01,4,4,1,1,0.6124999999999999,0.0,-0.5,0.9375,0.25,0.5,0.0,0.5625,0.0,0.5,0.0,0.5,1.0,0.75,1.0,,-0.3333333333333333,0.5,0.25,,0.0,,-0.25,4,2,4,4,4,3,3,4,4,4
凯美瑞,2022-04-01,44,27,1,1,0.5203703703703704,0.0,0.037037037037037035,0.7222222222222222,0.36363636363636365,0.4351851851851852,0.0,0.5,0.125,0.4107142857142857,-0.18518518518518517,0.39285714285714285,0.2631578947368421,0.5892857142857143,0.4583333333333333,,0.07692307692307693,0.4444444444444444,0.041666666666666664,,0.16666666666666666,,0.2727272727272727,22,19,24,27,19,24,26,24,18,22
凯迪拉克XT5,2022-04-01,38,16,1,1,0.66875,0.3125,-0.375,0.734375,0.18181818181818182,0.5,0.13333333333333333,0.78125,0.0,0.6346153846153846,-0.4375,0.5961538461538461,-0.23076923076923078,0.6923076923076923,0.2857142857142857,,0.0,0.734375,-0.08333333333333333,,0.2222222222222222,,0.1875,11,15,14,16,13,14,11,12,9,16
凯迪拉克XT6,2022-04-01,63,23,1,1,0.6478260869565218,0.21739130434782608,-0.043478260869565216,0.8586956521739131,0.21052631578947367,0.40217391304347827,-0.05,0.7391304347826086,0.30434782608695654,0.48214285714285715,-0.1111111111111111,0.6428571428571429,0.25,0.6964285714285714,0.5714285714285714,,-0.047619047619047616,0.6847826086956522,0.29411764705882354,,-0.375,,0.2,19,20,23,18,20,21,21,17,8,20
别克GL6,2022-04-01,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0
别克GL8,2022-04-01,62,13,1,1,0.4423076923076923,-0.07692307692307693,0.15384615384615385,0.5769230769230769,0.5714285714285714,0.3076923076923077,-0.125,0.5769230769230769,0.38461538461538464,0.3181818181818182,0.1,0.22727272727272727,0.2,0.6136363636363636,0.36363636363636365,,0.0,0.4807692307692308,0.18181818181818182,,0.75,,0.2,7,8,13,10,10,11,10,11,8,10
北京EU5,2022-04-01,10,2,1,1,0.9375,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.75,0.0,1.0,1.0,1.0,1.0,1.0,-1.0,,-1.0,,,,0.0,2,2,2,2,2,2,2,1,0,2
北京现代ix35,2022-04-01,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0
卡罗拉,2022-04-01,51,13,1,1,0.27307692307692305,-0.3076923076923077,-0.38461538461538464,0.36538461538461536,0.23076923076923078,0.057692307692307696,0.1111111111111111,0.23076923076923078,0.16666666666666666,0.14285714285714285,0.0,0.2857142857142857,-0.09090909090909091,0.10714285714285714,0.0,,0.15384615384615385,0.2692307692307692,0.0,,-0.14285714285714285,,0.5454545454545454,13,9,12,13,11,13,13,12,7,11
卡罗拉锐放,2022-04-01,1,1,1,1,0.3,0.0,1.0,0.5,0.0,0.25,1.0,0.25,1.0,0.25,0.0,0.25,,0.25,,,,0.25,,,,,1.0,1,1,1,1,0,0,0,0,0,1
合创A06,2022-04-01,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0
君威,2022-04-01,58,29,1,1,0.5103448275862068,0.0,-0.1724137931034483,0.75,0.6190476190476191,0.5,0.0,0.41379310344827586,0.36,0.4861111111111111,0.034482758620689655,0.5833333333333334,0.17391304347826086,0.3472222222222222,0.0,,-0.1111111111111111,0.41379310344827586,0.16666666666666666,,0.1,,0.6206896551724138,21,25,25,29,23,27,27,24,10,29
君越,2022-04-01,58,20,1,1,0.6199999999999999,0.3,-0.3,0.7125,0.3125,0.6,0.0625,0.675,-0.10526315789473684,0.4791666666666667,-0.2,0.375,-0.05263157894736842,0.5833333333333334,0.55,,-0.2,0.6,0.3333333333333333,,-0.5,,0.21052631578947367,16,16,19,20,19,20,20,15,14,19
启辰D60,2022-04-01,38,10,1,1,0.10999999999999996,-0.8,-0.1,0.275,0.5,0.075,-0.75,0.325,0.125,-0.15625,-0.14285714285714285,0.0625,0.0,0.21875,0.25,,0.16666666666666666,-0.05,0.0,,-0.5,,0.5,4,4,8,7,4,4,6,4,2,6
启辰T60,2022-04-01,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0
嘉华,2022-04-01,53,38,1,1,0.618421052631579,0.21052631578947367,0.39473684210526316,0.625,0.4838709677419355,0.6447368421052632,0.48148148148148145,0.7368421052631579,0.5454545454545454,0.49137931034482757,0.5483870967741935,0.4827586206896552,0.5384615384615384,0.6293103448275862,0.7333333333333333,,0.17647058823529413,0.6513157894736842,0.46153846153846156,,0.5,,0.43478260869565216,31,27,33,31,26,30,17,26,12,23
型格,2022-04-01,23,23,1,1,0.5413043478260869,0.043478260869565216,-0.043478260869565216,0.75,0.4444444444444444,0.358695652173913,0.06666666666666667,0.43478260869565216,0.0,0.65625,0.2727272727272727,0.71875,0.0,0.40625,-0.35,,-0.3125,0.5,0.2777777777777778,,-0.14285714285714285,,0.23529411764705882,18,15,17,22,21,20,16,18,14,17
大众CC,2022-04-01,76,38,1,1,0.5973684210526315,0.18421052631578946,0.0,0.9342105263157895,0.4117647058823529,0.3223684210526316,0.1111111111111111,0.6842105263157895,0.48484848484848486,0.5595238095238095,0.0,0.5119047619047619,-0.10714285714285714,0.5238095238095238,0.0,,-0.2857142857142857,0.5592105263157895,0.10344827586206896,,0.38461538461538464,,0.15384615384615385,34,27,33,32,28,30,28,29,13,26
大众ID.3,2022-04-01,28,28,1,1,0.47678571428571426,0.0,-0.03571428571428571,0.6875,0.20833333333333334,0.35714285714285715,-0.09523809523809523,0.6071428571428571,0.05263157894736842,0.4666666666666667,0.06666666666666667,0.65,0.34782608695652173,0.5333333333333333,0.19047619047619047,,0.041666666666666664,0.36607142857142855,0.047619047619047616,,-0.2857142857142857,,-0.047619047619047616,24,21,19,15,23,21,24,21,21,21
大家9,2022-04-01,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0
大通G10,2022-04-01,23,3,1,1,0.5000000000000001,0.0,-0.3333333333333333,0.8333333333333334,0.0,0.4166666666666667,1.0,0.9166666666666666,-0.3333333333333333,,0.5,,,,0.5,,-0.3333333333333333,0.0,,,-1.0,,,2,1,3,2,0,2,3,0,1,0
大通G50,2022-04-01,52,11,1,1,0.5181818181818181,0.09090909090909091,-0.09090909090909091,0.7272727272727273,0.5,0.5,0.5,0.8181818181818182,0.5714285714285714,0.42857142857142855,-0.6,0.2857142857142857,-0.4,0.5357142857142857,0.375,,0.16666666666666666,0.5909090909090909,0.8,,,,0.7142857142857143,6,6,7,10,5,8,6,5,0,7
大通G90,2022-04-01,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0
天籁,2022-04-01,68,42,1,1,0.4880952380952381,0.023809523809523808,-0.40476190476190477,0.6666666666666666,0.09090909090909091,0.375,0.07407407407407407,0.625,0.4634146341463415,0.22727272727272727,-0.1951219512195122,0.3409090909090909,-0.029411764705882353,0.6704545454545454,0.5384615384615384,,-0.027777777777777776,0.36904761904761907,-0.28125,,-0.5,,0.21052631578947367,33,27,41,41,34,39,36,32,16,38
奇骏,2022-04-01,38,18,1,1,0.5583333333333332,0.05555555555555555,0.2222222222222222,0.5833333333333334,0.46153846153846156,0.5416666666666666,0.36363636363636365,0.625,0.5,0.5166666666666667,0.23529411764705882,0.4666666666666667,0.6153846153846154,0.6,0.4,,0.125,0.5416666666666666,0.46153846153846156,,0.1111111111111111,,0.4,13,11,14,17,13,15,8,13,9,10
奔奔E-Star,2022-04-01,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0
奔驰A级,2022-04-01,48,14,1,1,0.4714285714285714,0.07142857142857142,-0.07142857142857142,0.6428571428571429,0.36363636363636365,0.7857142857142857,0.23076923076923078,0.44642857142857145,0.16666666666666666,0.325,0.08333333333333333,0.375,-0.4444444444444444,0.25,-0.16666666666666666,,-0.4,0.3392857142857143,-0.25,,0.1111111111111111,,0.36363636363636365,11,13,12,12,9,12,10,12,9,11
奔驰C级,2022-04-01,45,20,1,1,0.545,0.0,-0.35,0.8375,0.3888888888888889,0.9,0.25,0.45,0.125,0.18333333333333332,-0.3157894736842105,0.43333333333333335,0.11764705882352941,0.5166666666666667,0.0,,-0.42857142857142855,0.3875,0.05555555555555555,,-0.2,,0.375,18,20,16,19,17,16,14,18,10,16
