MAE,RMSE,MAPE,WMAPE,series_name,order,status
325.57405822887864,387.35094172357714,22.127929200553943,23.5326388311441,库斯途,"(2, 1, 2)",ok
484.1255880355998,489.2999835271856,177.53339548675066,155.50072420843676,威霆,"(0, 1, 1)",ok
736.0981526295013,738.252077500514,282.2636081345435,262.11210182652866,奔驰V级,"(1, 1, 1)",ok
331.0476696735337,410.58686995014745,37.687604581582754,31.035719031893784,凡尔赛C5 X,"(0, 1, 1)",ok
261.8333333333333,295.25102314245527,41.31361623340688,35.34308211473566,MG7,"(0, 1, 0)",ok
558.1666666666666,619.6433113762573,73.5438296433975,61.07970089367135,林肯Z,"(0, 1, 0)",ok
415.3333333333333,729.820525882905,2809.265992985463,110.1679929266136,迈锐宝XL,"(0, 1, 0)",ok
24.552841934919034,26.276805125540907,402.10787675808206,249.68991798222748,凌尚,"(1, 1, 0)",ok
1314.9945599426667,1315.6692945717052,2937.144806540181,1962.678447675622,秦新能源,"(0, 1, 1)",ok
0.003596486537605402,0.003596486537605402,,,小鹏P5,"(0, 1, 1)",ok
499.9205260325335,501.727401343894,6373.456151409956,9675.881149016777,荣威i6 MAX新能源,"(0, 1, 2)",ok
100.32858695553692,104.78254108414382,66.93485068864653,61.425665482981785,大通G10,"(0, 1, 1)",ok
64.28355568043013,65.67375577493361,1341.1895777785612,378.1385628260595,长安UNI-T,"(0, 1, 1)",ok
143.67127797550583,159.33374303853725,89.16398586562315,70.36960553902325,锐际,"(0, 1, 1)",ok
1303.1666666666667,1389.3074413774177,117.28641384059728,89.08510880710949,赛图斯,"(0, 1, 0)",ok
172.64784948894547,183.51188862439108,61.85381490180766,53.61734456178431,冠道,"(0, 1, 1)",ok
33.96568618878306,34.174406512726904,577.4864438192559,783.8235274334553,凌放HARRIER,"(0, 1, 1)",ok
97.91590049717182,98.47501777470063,2457.4408922567814,995.7549203102218,威飒,"(0, 1, 1)",ok
46.833333333333336,49.10023760974415,165.55957950577206,126.00896860986548,智跑,"(0, 1, 0)",ok
325.5205183403021,354.48572849602374,47.551730023270395,43.12482027029835,瑞虎3x,"(2, 1, 2)",ok
275.6666666666667,304.7966535249362,2170.3033464551436,120.02902757619738,五菱星驰,"(0, 1, 0)",ok
557.993954195883,602.531632690208,100.54393731038893,76.73535927516156,吉利ICON,"(2, 1, 2)",ok
1632.3333333333333,1646.0538670813096,304.8143892832183,250.87090163934425,大众ID.3,"(0, 1, 0)",ok
2981.7391986486014,4718.649297302593,53.87325098632275,25.285762005698142,MG4,"(2, 1, 1)",ok
669.0,691.0634317243727,100.41948103712801,86.54592496765846,宝马iX1,"(0, 1, 0)",ok
35442.166666666664,35617.01201907126,366.6770654378995,311.03716596703185,秦PLUS,"(0, 1, 0)",ok
2177.611725046494,2645.7360596405283,285.74139392706144,98.81018188216717,AION S,"(0, 1, 1)",ok
2739.6140562409587,2979.0567594099634,124.82285925918373,100.07722579875649,红旗E-QM5,"(1, 1, 0)",ok
289.0651565690014,390.4757533820883,37.20626625962909,27.334766578628972,宝马i3,"(0, 1, 2)",ok
425.3648281414103,463.286654727889,146.79961803453375,109.77156855262203,奥迪A7L,"(0, 1, 1)",ok
409.6468366879582,412.63117318490555,95.7461098436504,92.5407010590267,红旗H9,"(2, 1, 0)",ok
155.5,203.94157660140482,112.01838182412172,51.46166574738004,本田XR-V,"(0, 1, 0)",ok
218.83333333333334,236.5139178427632,50.1112642503294,42.69918699186992,缤智,"(0, 1, 0)",ok
3.7912530209676363,4.927553906583388,78.03063458933926,39.21985883759624,风光330,"(0, 1, 1)",ok
55.17281243105915,58.78303260188122,54.942551041749155,46.04128992856118,标致508,"(0, 1, 1)",ok
5832.91407701528,6479.525539202415,69.89305330517456,59.06449371692856,奥迪A6L,"(0, 1, 1)",ok
3428.8333333333335,3824.113906078984,38.89742360643875,33.602286647611265,奔驰E级,"(0, 1, 0)",ok
243.679412707172,246.49975695924252,,,奥迪Q5 e-tron,"(0, 1, 2)",ok
1.6887e-320,0.0,,,起亚KX3傲跑,"(1, 1, 0)",ok
723.8956012060803,801.5338684450539,21.955705579982943,20.031239253039164,凯迪拉克XT5,"(0, 1, 1)",ok
1805.4999999999993,2034.6267061388264,51.65766568949815,44.6371914788413,瑞虎9,"(0, 1, 0)",ok
1523.510511167463,1621.1407487777894,269.10341669644083,184.70525494048852,QQ冰淇淋,"(1, 1, 2)",ok
1933.0072589170838,2020.9418256631902,45183.973447426986,307.39580051689643,零跑T03,"(0, 1, 2)",ok
5042.505559546121,5043.808176946703,3873.5760724737256,2019.6951506860298,宋PLUS新能源,"(1, 1, 0)",ok
4626.475482489987,5272.590335023927,46.74902554149801,40.30381986662591,RAV4荣放,"(0, 1, 2)",ok
88.58841351491685,93.25073106481258,68.66493466462717,55.2526487619024,飞凡F7,"(2, 1, 0)",ok
343.9645548027385,359.99140011165997,168.14518848229838,135.3303166437004,大通G50,"(1, 1, 1)",ok
3662.590336112868,3924.0122204384184,50.776761550855745,42.78477117122678,奥迪Q5L,"(2, 1, 2)",ok
109.33333333333336,111.80339887498948,52.22852230954626,42.764015645371586,凌宝BOX,"(0, 1, 0)",ok
1277.8528676558753,1369.2173986294788,79.48541143690187,66.45100715839185,途昂,"(0, 1, 1)",ok
70.81262340815691,82.18261839876624,57.90022612582558,43.982995905687524,瑞风E3,"(0, 1, 2)",ok
4920.580004307144,4990.605317934921,90.60456980671816,86.2578666720509,魏牌 高山,"(1, 1, 0)",ok
747.7703138877968,854.8767022736208,89.92619196855807,63.31670735713774,极氪009,"(2, 1, 1)",ok
25.49103342749648,25.528365508677144,,,欧拉闪电猫,"(2, 1, 0)",ok
958.2456265122433,1005.4743717361596,46.10497556936096,47.30130612154225,本田HR-V,"(1, 1, 0)",ok
324.4907943831254,378.7961531475627,99.72425510690867,65.6199786416836,海豹07DM-i,"(0, 1, 1)",ok
1777.6323063016334,1794.0519290745583,464.4439691709086,313.2391729165874,ID.4 CROZZ,"(1, 1, 1)",ok
3502.6666666666665,3542.9817950421366,151.84114651316474,140.0879882682309,极氪001,"(0, 1, 0)",ok
118.4087956694104,139.83289361049728,311.4820407448534,109.13253057088517,大家9,"(1, 1, 1)",ok
411.70501518528727,428.2040240298826,88.26240879522919,79.47973266125237,揽境,"(0, 1, 1)",ok
142.4710431331593,146.20150305686164,325.0360394520166,211.59065811855342,皓影新能源,"(1, 1, 1)",ok
17231.833333333332,17891.80219635052,201.3300308665234,142.02255525487988,宏光MINIEV,"(0, 1, 0)",ok
2804.0973626315645,3308.211010218528,106.9184591052989,66.88897616900324,元PLUS,"(2, 1, 0)",ok
23.993442637936756,25.97737820698714,60.93489239787241,53.12201322052419,风光380,"(0, 1, 1)",ok
5.4924107607482595,5.659465980486543,431.04247880639895,470.77806520699363,长安UNI-K 智电iDD,"(0, 1, 2)",ok
62.0,62.13962772123223,423.5918003565062,387.5,蔚来ET7,"(0, 1, 0)",ok
0.0,0.0,,,Model 3,"(1, 1, 2)",ok
727.2182687534132,796.6788667806677,48.96787906484872,37.86937695296371,传祺M6,"(0, 1, 1)",ok
27.24809661365964,44.433521396656666,89.54844770425781,138.54964379826936,迈腾PHEV,"(0, 1, 2)",ok
89.86597504761322,94.80092872493287,35.44367701862705,31.006086847940157,艾力绅,"(1, 1, 0)",ok
4646.166666666667,5887.508315634608,65.25306706561936,40.33539276257723,海豚,"(0, 1, 0)",ok
45.1568559295545,45.86680764719343,321.9725549476319,162.2402009445072,宝马iX3,"(2, 1, 0)",ok
0.0519142851985562,0.06407554222446679,,,传祺GA8,"(1, 1, 2)",ok
1229.4946364463983,1514.6636751349433,20.04105032415322,17.55793839980576,赛那SIENNA,"(0, 1, 1)",ok
25.998040982689314,25.998040982689314,,,红旗E-HS9,"(0, 1, 1)",ok
288.3333333333333,306.46370095004727,818.4545411390117,212.53071253071255,星途ES,"(0, 1, 0)",ok
0.0,0.0,,,小虎FEV,"(1, 1, 2)",ok
2267.5,2783.550545792024,24.80655653078093,20.502117271206618,缤越,"(0, 1, 1)",ok
1865.2148935272216,2122.6729464612595,73.54367021277062,53.324864731325725,皇冠陆放,"(2, 1, 2)",ok
73.94957989954345,98.03633473991408,16.09891253697011,14.139499024769304,欧诺S,"(1, 1, 0)",ok
8690.666666666666,9149.734750253692,126.67848819749838,103.48084937487596,艾瑞泽8,"(0, 1, 0)",ok
