series_name,actual_volume,cold_start,has_prior_review,has_recent_180d_review,absolute_error_BASE,absolute_error_LOCAL_LEXICON_FIXED,series_WMAPE_BASE,series_WMAPE_LOCAL_LEXICON_FIXED,brand,category,WMAPE_improvement_pp,absolute_error_reduction,share_of_best_total_absolute_error,history_group,sentiment_coverage_group,actual_volume_quartile
启辰D60,688.0,False,1,1,195.67938232421875,150.1951446533203,28.4417706866597,21.83068962984307,启辰,轿车,6.61108105681663,45.48423767089844,7.249157095034723e-05,historical,recent_180d,Q2
凯迪拉克XT6,538.0,False,1,1,517.9327774047853,145.38907623291016,96.27003297486715,27.023991864853187,凯迪拉克,SUV,69.24604111001396,372.5437011718751,7.017192572683112e-05,historical,recent_180d,Q2
皓影新能源,404.0,False,1,1,170.393310546875,142.8362579345703,42.17656201655321,35.35550938974513,本田,SUV,6.821052626808083,27.557052612304688,6.893980994023498e-05,historical,recent_180d,Q1_low
智跑,223.0,False,1,0,202.20951461791992,135.87158966064453,90.67691238471745,60.9289639733832,起亚,SUV,29.747948411334256,66.33792495727539,6.557831815905734e-05,historical,prior_but_not_recent,Q1_low
骐达,495.0,False,0,0,174.6073875427246,134.4917869567871,35.27421970560093,27.1700579710681,日产,轿车,8.104161734532827,40.1156005859375,6.491235744617919e-05,historical,no_prior_review,Q2
猛士917,0.0,False,1,1,437.99921798706055,133.80029296875,,,猛士,SUV,,304.19892501831055,6.457860840514837e-05,historical,recent_180d,Q1_low
迈腾PHEV,118.0,False,1,1,127.29541802406311,123.17262265086174,107.8774729017484,104.38357851767944,大众,轿车,3.493894384068966,4.12279537320137,5.944917150714233e-05,historical,recent_180d,Q1_low
欧拉闪电猫,0.0,False,1,0,171.29268074035645,78.38623905181885,,,欧拉,轿车,,92.9064416885376,3.783305793853562e-05,historical,prior_but_not_recent,Q1_low
红旗E-HS9,0.0,False,1,1,211.6761074066162,70.23573970794678,,,红旗,SUV,,141.44036769866943,3.389922570427238e-05,historical,recent_180d,Q1_low
睿蓝8,176.0,False,1,1,183.52761840820312,68.3283462524414,104.27705591375178,38.822924007068984,睿蓝汽车,MPV,65.45413190668279,115.19927215576172,3.2978623721237915e-05,historical,recent_180d,Q1_low
奥迪Q3 Sportback,659.0,False,1,1,130.80874633789062,68.22012329101564,19.84958214535518,10.352067267225438,奥迪,SUV,9.49751487812974,62.588623046874986,3.2926389992213175e-05,historical,recent_180d,Q2
沃尔沃ES90,50.0,True,0,0,55.43440866470337,54.686843276023865,110.86881732940674,109.37368655204773,沃尔沃,轿车,1.4951307773590088,0.7475653886795044,2.639456281056796e-05,cold_start,no_prior_review,Q1_low
风光E380,20.0,False,0,0,140.41565132141113,52.582111835479736,702.0782566070557,262.9105591773987,东风风光,MPV,439.167697429657,87.8335394859314,2.5378715800960527e-05,historical,no_prior_review,Q1_low
海马INJOY,0.0,False,0,0,173.63818550109863,50.26510536670685,,,海马,轿车,,123.37308013439178,2.426041441238265e-05,historical,no_prior_review,Q1_low
智己L7,67.0,False,1,0,410.8174800872803,49.831146240234375,613.1604180407169,74.37484513467817,智己汽车,轿车,538.7855729060387,360.9863338470459,2.405096437404192e-05,historical,prior_but_not_recent,Q1_low
大通G70,88.0,False,1,1,34.27833557128906,46.44884395599365,38.952654058283024,52.78277722272006,大通,MPV,-13.830123164437033,-12.17050838470459,2.2418498780167357e-05,historical,recent_180d,Q1_low
风光330,58.0,False,0,0,20.90823984146118,35.64127564430237,36.048689381829625,61.45047524879719,东风风光,MPV,-25.401785866967565,-14.733035802841187,1.7202234253933395e-05,historical,no_prior_review,Q1_low
护卫舰07,6.0,False,1,0,168.68628692626953,31.94254219532013,2811.438115437825,532.3757032553356,比亚迪,SUV,2279.0624121824894,136.7437447309494,1.5417043401977377e-05,historical,prior_but_not_recent,Q1_low
探界者,22.0,False,1,1,49.84036350250244,27.766428470611572,226.54710682955655,126.21103850277989,雪佛兰,SUV,100.33606832677667,22.07393503189087,1.34014453274178e-05,historical,recent_180d,Q1_low
宝马1系,17.0,False,1,0,62.91768455505371,23.035477876663208,370.1040267944336,135.50281103919534,宝马,轿车,234.60121575523826,39.8822066783905,1.1118055665019592e-05,historical,prior_but_not_recent,Q1_low
宝马X2,24.0,False,1,0,49.997117042541504,21.790802001953125,208.3213210105896,90.79500834147134,宝马,SUV,117.52631266911825,28.20631504058838,1.0517313812212057e-05,historical,prior_but_not_recent,Q1_low
凌放HARRIER,26.0,False,1,0,38.82650661468506,18.427747488021854,149.3327177487887,70.87595187700713,丰田,SUV,78.45676587178157,20.398759126663204,8.894138139860888e-06,historical,prior_but_not_recent,Q1_low
江淮QX PHEV,19.0,False,1,0,16.2271466255188,16.644618213176727,85.40603487115158,87.60325375356173,江淮,SUV,-2.197218882410155,-0.41747158765792847,8.033512167966535e-06,historical,prior_but_not_recent,Q1_low
红旗国耀,26.0,False,0,0,16.528425216674805,16.186352282762527,63.57086621798002,62.25520108754819,红旗,SUV,1.3156651304318316,0.3420729339122772,7.812330469414114e-06,historical,no_prior_review,Q1_low
亚洲狮,17.0,False,1,0,11.463221073150635,13.088781595230103,67.43071219500374,76.99283291311825,丰田,轿车,-9.562120718114514,-1.6255605220794678,6.317290361511341e-06,historical,prior_but_not_recent,Q1_low
长安UNI-K 智电iDD,7.0,False,1,0,62.07590961456299,11.681933879852295,886.7987087794713,166.88476971217565,长安,SUV,719.9139390672957,50.39397573471069,5.638276394641476e-06,historical,prior_but_not_recent,Q1_low
焕驰,10.0,False,1,1,18.64522361755371,8.986245393753052,186.4522361755371,89.86245393753052,起亚,轿车,96.58978223800659,9.65897822380066,4.337204421901261e-06,historical,recent_180d,Q1_low
别克E4,10.0,False,1,0,2.8029011487960815,8.174491837620735,28.029011487960815,81.74491837620735,别克,SUV,-53.715906888246536,-5.371590688824654,3.945412192902188e-06,historical,prior_but_not_recent,Q1_low
奔奔E-Star,0.0,False,1,0,81.74662780761719,6.195903368294239,,,长安欧尚,轿车,,75.55072443932295,2.9904479912511473e-06,historical,prior_but_not_recent,Q1_low
合创A06,0.0,False,1,0,10.778564453125,3.01342262327671,,,合创汽车,轿车,,7.7651418298482895,1.4544261094648906e-06,historical,prior_but_not_recent,Q1_low
沃尔沃C40,0.0,False,1,0,10.197807848453522,2.657671682536602,,,沃尔沃,SUV,,7.54013616591692,1.2827231917651191e-06,historical,prior_but_not_recent,Q1_low
小鹏P5,0.0,False,1,0,11.4139164686203,2.39309985935688,,,小鹏,轿车,,9.02081660926342,1.155027804968396e-06,historical,prior_but_not_recent,Q1_low
小鹏G3,0.0,False,1,1,2.3868272453546524,1.9654264152050018,,,小鹏,SUV,,0.4214008301496506,9.486115463611315e-07,historical,recent_180d,Q1_low
江淮A5 PLUS,0.0,False,1,0,6.29817607998848,1.8724776208400724,,,江淮,轿车,,4.425698459148407,9.037498823106248e-07,historical,prior_but_not_recent,Q1_low
小虎FEV,0.0,False,1,0,40.39640474319458,1.8022034019231794,,,小虎,轿车,,38.5942013412714,8.698320846457749e-07,historical,prior_but_not_recent,Q1_low
五菱星云,0.0,False,1,0,6.157166302204132,1.252161405980587,,,五菱,SUV,,4.905004896223545,6.043547387130641e-07,historical,prior_but_not_recent,Q1_low
EVOS,0.0,False,1,1,2.0746481008827686,1.0665431655943391,,,福特,SUV,,1.0081049352884295,5.14766237875059e-07,historical,recent_180d,Q1_low
启辰T60,0.0,False,1,0,3.8777786046266556,1.0343187004327774,,,启辰,SUV,,2.843459904193878,4.992131245704426e-07,historical,prior_but_not_recent,Q1_low
享域,0.0,False,1,0,2.36116873472929,0.6104150060564276,,,本田,轿车,,1.7507537286728625,2.946163327904751e-07,historical,prior_but_not_recent,Q1_low
卡罗拉双擎E+,0.0,False,1,0,1.1513929665088651,0.4214316084980963,,,丰田,轿车,,0.7299613580107689,2.0340364143378016e-07,historical,prior_but_not_recent,Q1_low
传祺GA8,0.0,False,1,0,1.7610875405371187,0.3184978272765874,,,广汽传祺,轿车,,1.4425897132605314,1.5372273116314594e-07,historical,prior_but_not_recent,Q1_low
荣威RX3,0.0,False,1,0,1.7309757787734268,0.2886361517012117,,,荣威,SUV,,1.442339627072215,1.3931001643348412e-07,historical,prior_but_not_recent,Q1_low
起亚KX3傲跑,0.0,False,1,0,1.8676583878695963,0.2837195452302692,,,起亚,SUV,,1.583938842639327,1.3693702010496808e-07,historical,prior_but_not_recent,Q1_low
摩卡,0.0,False,0,0,1.5678902715444565,0.24627133458852762,,,魏牌,SUV,,1.3216189369559288,1.1886267006545536e-07,historical,no_prior_review,Q1_low
别克GL6,0.0,False,1,0,1.4708432853221893,0.15749247721396373,,,别克,MPV,,1.3133508081082257,7.601362289343225e-08,historical,prior_but_not_recent,Q1_low
沃兰多,0.0,False,1,0,1.0442384779453275,0.0,,,雪佛兰,轿车,,1.0442384779453275,0.0,historical,prior_but_not_recent,Q1_low
