MAE,RMSE,MAPE,WMAPE,version,scenario,series_name,test_months,actual_volume
995.755859375,1182.329477130954,24.85333075631144,21.94745116541768,LOCAL_LEXICON_FIXED,fixed_origin_primary,天籁,6,27222.0
567.1167602539062,685.8986580448164,22.643448665923607,23.042598777838677,LOCAL_LEXICON_FIXED,fixed_origin_primary,奇骏,6,14767.0
1.0801446288824081,1.2820833442814055,,,LOCAL_LEXICON_FIXED,fixed_origin_primary,奔奔E-Star,6,0.0
2658.956298828125,2860.281413242839,116.24561011265182,61.301586140129686,LOCAL_LEXICON_FIXED,fixed_origin_primary,奔腾小马,6,26025.0
650.2716064453125,664.3008105904944,5597.339505569836,300.5877995895127,LOCAL_LEXICON_FIXED,fixed_origin_primary,奔驰A级,6,1298.0
2038.3351236979167,2512.354197819869,44.04379026747091,29.834388169169124,LOCAL_LEXICON_FIXED,fixed_origin_primary,奔驰C级,6,40993.0
1618.1663411458333,2367.9508086305345,13.590122975340927,15.857897994079215,LOCAL_LEXICON_FIXED,fixed_origin_primary,奔驰E级,6,61225.0
900.3752237955729,1094.2107883565056,452.83178250234346,88.79440076879416,LOCAL_LEXICON_FIXED,fixed_origin_primary,奔驰GLB,6,6084.0
2214.5543619791665,2561.295746991205,24.632626664802793,25.291368315425316,LOCAL_LEXICON_FIXED,fixed_origin_primary,奔驰GLC,6,52537.0
423.7908121744792,429.7313939047921,159.8050129176016,150.9047402401706,LOCAL_LEXICON_FIXED,fixed_origin_primary,奔驰V级,6,1685.0
673.7267608642578,743.1045180603173,73.44555400227264,76.08433211341139,LOCAL_LEXICON_FIXED,fixed_origin_primary,奕炫,6,5313.0
914.4254760742188,959.719729591198,46.70447366533651,47.96357073560025,LOCAL_LEXICON_FIXED,fixed_origin_primary,奕跑,6,11439.0
167.33380126953125,267.9442951256028,14.30973676489979,17.080687438196453,LOCAL_LEXICON_FIXED,fixed_origin_primary,奥德赛,6,5878.0
1338.6456705729167,1764.5891382181621,20.92487833587553,23.379734596953774,LOCAL_LEXICON_FIXED,fixed_origin_primary,奥迪A3,6,34354.0
1437.7767333984375,1528.1414009785324,76.08374253359452,60.83252521254231,LOCAL_LEXICON_FIXED,fixed_origin_primary,奥迪A4L,6,14181.0
