MAE,RMSE,MAPE,WMAPE,series_name
8414.095182661973,10373.257244359293,49.15532503931918,53.06959086710871,轩逸
4655.171794895637,5066.773525509775,35.24789020957668,36.37989836586149,迈腾
512.534398450896,610.8251509031952,30.66605689727151,26.65285483363994,途昂
744.8132386433282,823.6755593126246,44.375900031291984,43.92019097651075,途胜L
4732.844497095555,6017.370405609469,30.071863930997367,34.29348958115756,途观L
95.33345931219704,122.66963701537914,2128.8120350866852,113.0436276429214,途观L新能源
4435.120277941856,6599.918185064168,24.95201696722893,31.458100350688774,速腾
3191.5012071355,4109.33848006282,30.56516821923016,32.65853812261316,逸动
296.23557025983,303.11269024324037,6210.750166098705,533.757784251946,铂智4X
3391.5302133735495,4252.322095557912,23.332105351379315,25.881311644186066,锋兰达
468.49678435134155,572.8571108494646,25.05367647576204,26.521187905538724,锐界L
7148.2833196746005,8042.180558970369,56.1650568898928,58.78361327546888,长安CS75 PLUS
5212.931428687982,5577.503989041769,345.1891314993746,264.4815539669194,长安Lumin
66.9699917221007,78.52868100572908,6791.782459942525,5740.2850047514885,长安UNI-K 智电iDD
2214.5204269802475,2547.5704580471534,187.305376851205,142.79551382999983,长安启源A07
2758.997118535604,3631.2379433755186,,,长安启源Q05经典
3186.712485256599,3901.5195137694895,48.37031547683484,47.32624170574885,雅阁
67.39410907778293,70.76474672134992,899.8899072314641,697.1804387356855,风光330
197.00895241614285,206.25626440553953,436.95933110297113,436.182182471165,风光380
517.1101607379791,605.2286191722156,109.96201680581679,86.59394262985974,马自达3 昂克赛拉
