MAE,RMSE,MAPE,WMAPE,version,series_name,test_months,actual_volume
74.35792795817058,81.87357646864294,171.06834148317074,164.63009880037765,ALL_SENTIMENT,风光380,6,271.0
101.17201232910156,131.67332480412955,99.77480820906746,63.10104719070784,ALL_SENTIMENT,飞凡F7,6,962.0
301.09141031901044,346.34613461859055,64.92786437706664,50.41999614608045,ALL_SENTIMENT,马自达3 昂克赛拉,6,3583.0
92.24338022867839,110.60365375633188,178.46455833439495,111.8101578529435,ALL_SENTIMENT,骐达,6,495.0
402.2673746744792,477.3294873021653,37.93866248227572,32.18997396701621,ALL_SENTIMENT,高尔夫,6,7498.0
1560.3246663411458,1795.5341884731145,27.74246195575832,27.35252285636157,ALL_SENTIMENT,魏牌 高山,6,34227.0
1154.950927734375,1301.5032915163777,102.28138960943154,52.4064551645334,BASE,AION S,6,13223.0
756.9464518229166,813.6095123283604,219.7050970027154,133.38263468245228,BASE,ID.4 CROZZ,6,3405.0
23.916391531626385,24.855107840587102,3437.215042114258,14349.83491897583,BASE,ID.6 CROZZ,6,1.0
5308.824625651042,5948.586703272086,48.1697372395825,45.01992530904167,BASE,MG4,6,70753.0
250.3731892903646,285.214056077083,33.97725685318115,33.79615603469488,BASE,MG7,6,4445.0
9.5985267162323,10.47480683474417,,,BASE,Model 3,6,0.0
6.135330994923909,6.819176895876808,,,BASE,Model Y,6,0.0
470.14626057942706,598.666307445252,82.18726848122272,56.99894046224616,BASE,QQ冰淇淋,6,4949.0
4497.56005859375,5269.592649956418,36.151364368468776,39.180765385432096,BASE,RAV4荣放,6,68874.0
678.8012898763021,967.2141036219899,24.347309978950506,29.63982053167755,BASE,T-ROC探歌,6,13741.0
309.3335316975911,369.1792319660052,57.3532579321922,48.89360353491957,BASE,e爱丽舍,6,3796.0
139.47577412923178,199.48871530799937,51.12278978095791,51.05885569099393,BASE,五菱佳辰,6,1639.0
310.77260335286456,337.8764875261111,2923.0768673738166,135.31463135828648,BASE,五菱星驰,6,1378.0
2.1283377607663474,2.1598278130752786,,,BASE,传祺GA8,6,0.0
743.5004475911459,962.4920146558431,31.668511589174596,38.71725989886196,BASE,传祺M6,6,11522.0
2695.671346028646,3018.223751776211,50.165507371865694,55.34880595500608,BASE,传祺M8,6,29222.0
2098.6881103515625,2237.176674553997,63.773447893207226,50.06213438599521,BASE,元PLUS,6,25153.0
84.56094360351562,97.53677142460616,31.542872876575505,26.26116260978746,BASE,冠道,6,1932.0
94.66027323404948,120.24777321479881,60.69400081449394,37.02487870953695,BASE,凌宝BOX,6,1534.0
84.72063318888347,86.30197123867003,1337.651361054065,861.5657612428827,BASE,凌尚,6,59.0
37.4008518854777,41.07352237949945,593.6171827171788,863.0965819725624,BASE,凌放HARRIER,6,26.0
350.2737731933594,449.9948400354758,30.258380019842086,32.83816623687744,BASE,凡尔赛C5 X,6,6400.0
4719.29833984375,5410.51456845342,31.371022104379538,32.932613064586945,BASE,凯美瑞,6,85981.0
724.3640950520834,952.1068876328989,24.038143427097392,28.28442385990173,BASE,凯迪拉克CT5,6,15366.0
1310.451192220052,1419.3312286054474,34.94248065829775,36.262081599964546,BASE,凯迪拉克XT5,6,21683.0
122.19075520833333,133.48689007794883,162.61483153858353,136.27221770446096,BASE,凯迪拉克XT6,6,538.0
1373.2906901041667,1489.976579357467,40.16573537841643,41.92613921856714,BASE,别克GL8,6,19653.0
1746.8444010416667,2254.32885599701,28.844589299553476,33.349454009959274,BASE,卡罗拉,6,31428.0
1.5857425729433696,1.5998796461214395,,,BASE,卡罗拉双擎E+,6,0.0
2898.5681966145835,3532.129421447375,23.748857157587377,25.653694599276474,BASE,卡罗拉锐放,6,67793.0
261.2379150390625,301.83376035446116,49.469847415687894,35.92545244635285,BASE,吉利ICON,6,4363.0
630.3950805664062,913.4933186927315,20.515169337642003,26.600819209497416,BASE,君威,6,14219.0
504.4354553222656,542.7984323817637,310.48580643053384,151.40633976656298,BASE,型格,6,1999.0
675.8219604492188,731.2486498938956,137.87960326060144,103.86607998707255,BASE,大众ID.3,6,3904.0
133.0442632039388,144.1925943745571,288.79109273517,122.62144074095742,BASE,大家9,6,651.0
