version,series_name,WMAPE
NO-CONFIG,传祺M6,53.05073914729024
NO-CONFIG,元PLUS,125.23575638964537
NO-CONFIG,元UP,54.8872978124622
NO-CONFIG,凌宝BOX,42.93547111819589
NO-CONFIG,凯美瑞,33.665614759728896
NO-CONFIG,凯迪拉克XT5,54.5638933231463
NO-CONFIG,凯迪拉克XT6,137.69106669940027
NO-CONFIG,别克GL8,42.17374201179528
NO-CONFIG,北京EU5,391.16920865197693
NO-CONFIG,卡罗拉,22.260295979103027
NO-CONFIG,卡罗拉双擎E+,
NO-CONFIG,卡罗拉锐放,27.002682741488798
NO-CONFIG,君越,57.21626450380954
NO-CONFIG,启辰T60,
NO-CONFIG,嘉华,33.57677068688603
NO-CONFIG,夏,55.942149744822146
NO-CONFIG,大家9,43.28715240900418
NO-CONFIG,大通G50,25.85687155801742
NO-CONFIG,大通G70,468.8757592981512
NO-CONFIG,奇骏,66.5696822015516
NO-CONFIG,奔腾小马,54.00268671950048
NO-CONFIG,奕炫,34.05114491062606
NO-CONFIG,奕跑,49.41983200034558
NO-CONFIG,奥德赛,17.31359398093261
NO-CONFIG,奥迪A6L,16.041541738920394
NO-CONFIG,奥迪E5 Sportback,97.801957700932
NO-CONFIG,奥迪Q3,46.237795402045265
NO-CONFIG,奥迪Q5L,21.951456803170572
NO-CONFIG,威兰达,40.24683558976261
NO-CONFIG,威然,114.26090597479626
NO-CONFIG,威霆,118.16072974521548
NO-CONFIG,宋PLUS新能源,5003.939041117323
NO-CONFIG,宏光MINIEV,37.97643624268534
NO-CONFIG,宝来,24.12835628318334
NO-CONFIG,宝马3系,13.437309307102584
NO-CONFIG,宝马X5,61.266253706873485
NO-CONFIG,宝马i3,19.05407147298562
NO-CONFIG,宝马i5,91.76018207957358
NO-CONFIG,小米SU7,84.7797379392299
NO-CONFIG,小虎FEV,
NO-CONFIG,小鹏P5,
NO-CONFIG,小鹏P7,94.14429735133808
NO-CONFIG,小鹏X9,60.10263855841668
NO-CONFIG,岚图梦想家,43.79577522062853
NO-CONFIG,帕萨特,29.929631131699775
NO-CONFIG,帕萨特新能源,91.29198085239956
NO-CONFIG,思域,18.36100008781391
NO-CONFIG,护卫舰07,8478.604380289715
NO-CONFIG,捷达VA3,44.529780691645385
NO-CONFIG,探岳,28.401204664127043
NO-CONFIG,新帝豪,42.89251780668512
NO-CONFIG,星海V9,44.73608356632599
