series_name,aspect,aspect_zh,mentioned_reviews,scored_mentions,mean_polarity,negative_rate_among_scored,positive_rate_among_scored,brand,category
MG6,appearance,外观,162,151,0.9470198675496688,0.013245033112582781,0.9602649006622517,MG名爵,轿车
MG6,comfort,舒适性,162,129,-0.5038759689922481,0.7209302325581395,0.21705426356589147,MG名爵,轿车
MG6,configuration,配置,108,79,0.5569620253164557,0.20253164556962025,0.759493670886076,MG名爵,轿车
MG6,control,操控,140,117,0.39316239316239315,0.26495726495726496,0.6581196581196581,MG名爵,轿车
MG6,fuel_consumption,能耗/油耗,131,123,0.10569105691056911,0.34146341463414637,0.44715447154471544,MG名爵,轿车
MG6,intelligence,智能化,75,64,-0.0625,0.515625,0.453125,MG名爵,轿车
MG6,interior,内饰,137,114,0.2631578947368421,0.2807017543859649,0.543859649122807,MG名爵,轿车
MG6,power,动力,181,177,0.751412429378531,0.1016949152542373,0.8531073446327684,MG名爵,轿车
MG6,space,空间,155,132,0.7121212121212122,0.09848484848484848,0.8106060606060606,MG名爵,轿车
MG6,value,性价比,148,123,0.5772357723577236,0.12195121951219512,0.6991869918699187,MG名爵,轿车
MG7,appearance,外观,27,27,1.0,0.0,1.0,MG名爵,轿车
MG7,comfort,舒适性,22,12,0.3333333333333333,0.3333333333333333,0.6666666666666666,MG名爵,轿车
MG7,configuration,配置,27,25,1.0,0.0,1.0,MG名爵,轿车
MG7,control,操控,19,11,1.0,0.0,1.0,MG名爵,轿车
MG7,fuel_consumption,能耗/油耗,26,26,0.5769230769230769,0.19230769230769232,0.7692307692307693,MG名爵,轿车
MG7,intelligence,智能化,22,22,0.7272727272727273,0.13636363636363635,0.8636363636363636,MG名爵,轿车
MG7,interior,内饰,27,26,1.0,0.0,1.0,MG名爵,轿车
MG7,power,动力,24,24,0.9166666666666666,0.041666666666666664,0.9583333333333334,MG名爵,轿车
MG7,space,空间,26,24,0.7083333333333334,0.125,0.8333333333333334,MG名爵,轿车
MG7,value,性价比,27,27,0.9259259259259259,0.037037037037037035,0.9629629629629629,MG名爵,轿车
Model 3,appearance,外观,65,59,0.8305084745762712,0.06779661016949153,0.8983050847457628,特斯拉,轿车
Model 3,comfort,舒适性,72,60,-0.6166666666666667,0.7166666666666667,0.1,特斯拉,轿车
Model 3,configuration,配置,62,37,0.40540540540540543,0.08108108108108109,0.4864864864864865,特斯拉,轿车
Model 3,control,操控,81,74,0.8378378378378378,0.05405405405405406,0.8918918918918919,特斯拉,轿车
Model 3,fuel_consumption,能耗/油耗,87,81,0.4567901234567901,0.19753086419753085,0.654320987654321,特斯拉,轿车
Model 3,intelligence,智能化,68,67,0.43283582089552236,0.2537313432835821,0.6865671641791045,特斯拉,轿车
Model 3,interior,内饰,66,56,0.125,0.39285714285714285,0.5178571428571429,特斯拉,轿车
Model 3,power,动力,83,81,0.9506172839506173,0.012345679012345678,0.9629629629629629,特斯拉,轿车
