series_id,series_name,brand,category,total_months,longest_run_months,interrupt_count,longest_gap_months,first_year,last_year
21664,传祺GS4新能源,广汽传祺,SUV,54,54,0,0,2022,2026
21665,祺智EV,广汽集团,SUV,54,54,0,0,2022,2026
21666,博骏,野马汽车,SUV,54,54,0,0,2022,2026
21678,江淮iEV7S,江淮,SUV,54,54,0,0,2022,2026
21703,江铃E160,江铃集团新能源,轿车,54,54,0,0,2022,2026
22326,凯翼E3,凯翼,轿车,54,54,0,0,2022,2026
22333,零跑S01,零跑汽车,轿车,54,54,0,0,2022,2026
22354,风行S500EV,东风风行,轿车,54,54,0,0,2022,2026
22962,汉腾V7,汉腾,MPV,54,54,0,0,2022,2026
22833,微蓝6,别克,轿车,54,54,0,0,2022,2026
22853,力帆650新能源,力帆,轿车,54,54,0,0,2022,2026
22865,易至EX5,江铃集团新能源,SUV,54,54,0,0,2022,2026
22894,缤越,吉利汽车,SUV,54,54,0,0,2022,2026
22904,海马8S,海马郑州,SUV,54,54,0,0,2022,2026
22923,大指挥官PHEV,Jeep,SUV,54,54,0,0,2022,2026
22937,SITECH DEV 1,新特,SUV,54,54,0,0,2022,2026
22938,艾瑞泽GX,奇瑞,轿车,54,54,0,0,2022,2026
22943,奕跑,起亚,SUV,54,54,0,0,2022,2026
22948,魏牌 VV6,魏牌,SUV,54,54,0,0,2022,2026
22950,哈弗F5,哈弗,SUV,54,54,0,0,2022,2026
22951,奔驰A级,奔驰,轿车,54,54,0,0,2022,2026
22959,思皓E20X,思皓,SUV,54,54,0,0,2022,2026
22969,吉利ICON,吉利汽车,SUV,54,54,0,0,2022,2026
22363,哈弗H4,哈弗,SUV,54,54,0,0,2022,2026
22976,唐,比亚迪,SUV,54,54,0,0,2022,2026
22980,英仕派,本田,轿车,54,54,0,0,2022,2026
22987,逸行,现代,轿车,54,54,0,0,2022,2026
22991,欧拉iQ,欧拉,轿车,54,54,0,0,2022,2026
23054,奥迪Q5L,奥迪,SUV,54,54,0,0,2022,2026
23064,宝沃BX3,宝沃,SUV,54,54,0,0,2022,2026
23113,哪吒N01,哪吒汽车,SUV,54,54,0,0,2022,2026
23173,名爵HS,MG名爵,SUV,54,54,0,0,2022,2026
23253,沃兰多,雪佛兰,轿车,54,54,0,0,2022,2026
23304,汉腾X5 EV,汉腾,SUV,54,54,0,0,2022,2026
23313,启辰T60,启辰,SUV,54,54,0,0,2022,2026
23314,起亚KX3新能源,起亚,SUV,54,54,0,0,2022,2026
23325,朗逸纯电,大众,轿车,54,54,0,0,2022,2026
22828,森雅R9,一汽,SUV,54,54,0,0,2022,2026
22825,博瑞,吉利汽车,轿车,54,54,0,0,2022,2026
22816,全球鹰EX3,全球鹰,SUV,54,54,0,0,2022,2026
22815,途岳,大众,SUV,54,54,0,0,2022,2026
