pcauto_series_id,annual_sales,pcauto_brand,brand_id,brand_name,series_id,series_name,car_id,car_name,year,energy_type,manufacturer,vehicle_class,official_price_wan,official_price_str,owner_price,dealer_price,engine_displacement_ml,engine_displacement_l,engine_intake_type,engine_cylinder_arrangement,engine_cylinder_nums,engine_unique_tech,engine_max_horsepower_ps,engine_max_power_kw,engine_max_power_rpm,engine_max_torque_nm,engine_max_torque_rpm,fuel_form,fuel_grade,oil_supply,cylinder_material,environmental_standard,gearbox_short,gear_count,gearbox_type,max_speed_kmh,acceleration_0_100_s,fuel_consumption_l_100km,warranty_period,motor_type,motor_total_power_kw,motor_total_torque_nm,motor_front_power_kw,motor_front_torque_nm,motor_rear_power_kw,motor_rear_torque_nm,motor_system_power_kw,motor_system_torque_nm,battery_type,battery_capacity_kwh,battery_range_km,electricity_consumption_kwh_100km,battery_warranty,charging_time_h,fast_charge_percent,length_mm,width_mm,height_mm,wheelbase_mm,front_track_mm,rear_track_mm,min_ground_clearance_mm,curb_weight_kg,body_structure,door_count,seat_count,trunk_volume_l,door_open_way,driver_airbag,side_airbag,side_air_curtain,knee_airbag,steering_wheel_material,steering_wheel_adjustment,center_screen,multimedia_interface,sound_brand,speaker_count,seat_material,seat_heating,aircon_control,speaker_count_original,original_energy_type
9255,21144.0,瑞驰,198.0,瑞驰,9255,瑞驰EC75,242030,货运 智驾版-先锋型I 41.85kWh,2024,纯电动,瑞驰汽车,微面,7.99,7.99万,暂无报价,7.99万,,,,,,,,,,,,纯电动,,,,,电动车单速变速箱,1.0,固定齿比变速箱,80.0,,,,永磁/同步,70.0,230.0,70.0,230.0,,,,,,,252.0,,,,,5130,1860,2020,3200,1624.0,1624.0,,1730.0,货车,5.0,2.0,,侧滑门,主 / 副,前 / 后,,主 / 副,,,,USB/Type-C,,,织物,前 / 后,手动,,纯电动
9255,17801.0,瑞驰,198.0,瑞驰,9255,瑞驰EC75,244535,客运 智行版-先锋型 41.5kWh,2025,纯电动,瑞驰汽车,微面,8.29,8.29万,暂无报价,8.29万,,,,,,,,,,,,纯电动,,,,,电动车单速变速箱,1.0,固定齿比变速箱,100.0,,,,永磁/同步,70.0,230.0,70.0,230.0,,,,,,,258.0,,,,,5130,1860,2020,3200,1624.0,1624.0,,,客车,6.0,6.0,,侧滑门,主 / 副,前 / 后,,主 / 副,,上下,,USB/Type-C,,46056,织物,前 / 后,手动,46056,纯电动
9255,6150.0,瑞驰,198.0,瑞驰,9255,瑞驰EC75,252038,货运 超充版-先锋型I 2座 58.24kWh,2026,纯电动,瑞驰汽车,微面,9.39,9.39万,暂无报价,9.39万,,,,,,,,,,,,纯电动,,,,,电动车单速变速箱,1.0,固定齿比变速箱,90.0,,,,永磁/同步,70.0,230.0,70.0,230.0,,,,,,,401.0,,,,,5130,1860,2020,3200,1624.0,1624.0,,,货车,6.0,2.0,,侧滑门,主 / 副,前 / 后,,主 / 副,,,,USB/Type-C,,46056,织物,前 / 后,手动,46056,纯电动
sg10059,10682.0,标致,,标致,sg10059,标致2008,pcauto_m109511,标致2008 2022款 230THP 双离合THE ONE,2022,燃油,东风标致,小型SUV,9.97,9.97万,,,1199.0,1.2,涡轮增压,直列,3.0,CVVT连续可变正时系统,136.0,100.0,,230.0,,汽油,92号(原93号),直喷,铝合金,国VI,双离合,6.0,双离合,195.0,,,三年或10万公里,,,,,,,,,,,,,,,,,4312,1785,1545,2612,,,,1270.0,SUV,5.0,5.0,,,,,,,真皮,上下+前后,,,,,仿皮,,手动,,
sg10280,63019.0,马自达,15.0,马自达,1014,马自达3 昂克赛拉,250309,1.5L 手动质美版,2022,燃油,长安马自达,紧凑型车,8.99,8.99万,8.47万,8.69万,1496.0,1.5,自然吸气,L,4.0,Dual S-VT,117.0,86.0,6100.0,148.0,3500,汽油,92#,缸内直喷,铝,国VI,6挡手动,6.0,手动变速箱(MT),196.0,,,3年或10万公里,,,,,,,,,,,,,,,,,4662,1797,1445,2726,1568.0,1581.0,,1297.0,三厢车,4.0,5.0,419.0,平开门,主 / 副,前 / 后,,主 / 副,,上下+前后,大屏,USB/Type-C+SD卡槽,,46243,织物,前 / 后,手动,46243,燃油
sg10280,49419.0,马自达,15.0,马自达,1014,马自达3 昂克赛拉,250309,1.5L 手动质美版,2023,燃油,长安马自达,紧凑型车,8.99,8.99万,8.47万,8.69万,1496.0,1.5,自然吸气,L,4.0,Dual S-VT,117.0,86.0,6100.0,148.0,3500,汽油,92#,缸内直喷,铝,国VI,6挡手动,6.0,手动变速箱(MT),196.0,,,3年或10万公里,,,,,,,,,,,,,,,,,4662,1797,1445,2726,1568.0,1581.0,,1297.0,三厢车,4.0,5.0,419.0,平开门,主 / 副,前 / 后,,主 / 副,,上下+前后,大屏,USB/Type-C+SD卡槽,,46243,织物,前 / 后,手动,46243,燃油
sg10280,29563.0,马自达,15.0,马自达,1014,马自达3 昂克赛拉,250309,1.5L 手动质美版,2024,燃油,长安马自达,紧凑型车,8.99,8.99万,8.47万,8.69万,1496.0,1.5,自然吸气,L,4.0,Dual S-VT,117.0,86.0,6100.0,148.0,3500,汽油,92#,缸内直喷,铝,国VI,6挡手动,6.0,手动变速箱(MT),196.0,,,3年或10万公里,,,,,,,,,,,,,,,,,4662,1797,1445,2726,1568.0,1581.0,,1297.0,三厢车,4.0,5.0,419.0,平开门,主 / 副,前 / 后,,主 / 副,,上下+前后,大屏,USB/Type-C+SD卡槽,,46243,织物,前 / 后,手动,46243,燃油
sg10280,15453.0,马自达,15.0,马自达,1014,马自达3 昂克赛拉,250309,1.5L 手动质美版,2025,燃油,长安马自达,紧凑型车,8.99,8.99万,8.47万,8.69万,1496.0,1.5,自然吸气,L,4.0,Dual S-VT,117.0,86.0,6100.0,148.0,3500,汽油,92#,缸内直喷,铝,国VI,6挡手动,6.0,手动变速箱(MT),196.0,,,3年或10万公里,,,,,,,,,,,,,,,,,4662,1797,1445,2726,1568.0,1581.0,,1297.0,三厢车,4.0,5.0,419.0,平开门,主 / 副,前 / 后,,主 / 副,,上下+前后,大屏,USB/Type-C+SD卡槽,,46243,织物,前 / 后,手动,46243,燃油
sg10280,3583.0,马自达,15.0,马自达,1014,马自达3 昂克赛拉,250309,1.5L 手动质美版,2026,燃油,长安马自达,紧凑型车,8.99,8.99万,8.47万,8.69万,1496.0,1.5,自然吸气,L,4.0,Dual S-VT,117.0,86.0,6100.0,148.0,3500,汽油,92#,缸内直喷,铝,国VI,6挡手动,6.0,手动变速箱(MT),196.0,,,3年或10万公里,,,,,,,,,,,,,,,,,4662,1797,1445,2726,1568.0,1581.0,,1297.0,三厢车,4.0,5.0,419.0,平开门,主 / 副,前 / 后,,主 / 副,,上下+前后,大屏,USB/Type-C+SD卡槽,,46243,织物,前 / 后,手动,46243,燃油
sg10400,4142.0,雪佛兰,6.0,雪佛兰,1357,创酷,91618,RS 1.5T CVT 酷,2023,燃油,上汽通用雪佛兰,小型SUV,10.99,10.99万,8.74万,10.99万,1498.0,1.5,涡轮增压,L,4.0,,184.0,135.0,5500.0,250.0,1500,汽油,92#,缸内直喷,铝,国VI,CVT无级变速,,无级变速箱(CVT),205.0,7.8,,3年或10万公里,,,,,,,,,,,,,,,,,4270,1791,1610,2570,1547.0,1551.0,,1300.0,SUV,5.0,5.0,390.0,平开门,主 / 副,前 / 后,,主 / 副,,上下,大屏,USB/Type-C,,46117,仿皮,前 / 后,手动,46117,燃油
sg106,113674.0,别克,12.0,别克,353,别克GL8,249429,陆上公务舱 2.0T 先享版,2022,燃油,上汽通用别克,中大型MPV,22.99,22.99万,22.16万,22.99万,1998.0,2.0,涡轮增压,L,4.0,Tripower可变气门管理技术,237.0,174.0,5000.0,350.0,1500,汽油,95#,缸内直喷,铝,国VI b,9挡自动,9.0,自动变速箱(AT),195.0,9.2,6.5,3年或10万公里,,,,,,,,,,,,,,,,,5219,1878,1807,3088,1612.0,1626.0,,1975.0,MPV,5.0,7.0,521.0,侧滑门,主 / 副,前 / 后,,主 / 副,,上下+前后,大屏,USB/Type-C,,46243,仿皮,前 / 后,自动,46243,燃油
sg106,110908.0,别克,12.0,别克,353,别克GL8,249429,陆上公务舱 2.0T 先享版,2023,燃油,上汽通用别克,中大型MPV,22.99,22.99万,22.16万,22.99万,1998.0,2.0,涡轮增压,L,4.0,Tripower可变气门管理技术,237.0,174.0,5000.0,350.0,1500,汽油,95#,缸内直喷,铝,国VI b,9挡自动,9.0,自动变速箱(AT),195.0,9.2,6.5,3年或10万公里,,,,,,,,,,,,,,,,,5219,1878,1807,3088,1612.0,1626.0,,1975.0,MPV,5.0,7.0,521.0,侧滑门,主 / 副,前 / 后,,主 / 副,,上下+前后,大屏,USB/Type-C,,46243,仿皮,前 / 后,自动,46243,燃油
sg106,64688.0,别克,12.0,别克,353,别克GL8,249429,陆上公务舱 2.0T 先享版,2024,燃油,上汽通用别克,中大型MPV,22.99,22.99万,22.16万,22.99万,1998.0,2.0,涡轮增压,L,4.0,Tripower可变气门管理技术,237.0,174.0,5000.0,350.0,1500,汽油,95#,缸内直喷,铝,国VI b,9挡自动,9.0,自动变速箱(AT),195.0,9.2,6.5,3年或10万公里,,,,,,,,,,,,,,,,,5219,1878,1807,3088,1612.0,1626.0,,1975.0,MPV,5.0,7.0,521.0,侧滑门,主 / 副,前 / 后,,主 / 副,,上下+前后,大屏,USB/Type-C,,46243,仿皮,前 / 后,自动,46243,燃油
sg106,56853.0,别克,12.0,别克,353,别克GL8,249429,陆上公务舱 2.0T 先享版,2025,燃油,上汽通用别克,中大型MPV,22.99,22.99万,22.16万,22.99万,1998.0,2.0,涡轮增压,L,4.0,Tripower可变气门管理技术,237.0,174.0,5000.0,350.0,1500,汽油,95#,缸内直喷,铝,国VI b,9挡自动,9.0,自动变速箱(AT),195.0,9.2,6.5,3年或10万公里,,,,,,,,,,,,,,,,,5219,1878,1807,3088,1612.0,1626.0,,1975.0,MPV,5.0,7.0,521.0,侧滑门,主 / 副,前 / 后,,主 / 副,,上下+前后,大屏,USB/Type-C,,46243,仿皮,前 / 后,自动,46243,燃油
sg106,19653.0,别克,12.0,别克,353,别克GL8,252194,陆尊 2.0T 智享版,2026,燃油,上汽通用别克,中大型MPV,30.99,30.99万,32.46万,30.99万,1998.0,2.0,涡轮增压,L,4.0,Tripower可变气门管理技术,237.0,174.0,5000.0,350.0,1500,48V轻混系统,95#,缸内直喷,铝,国VI b,9挡自动,9.0,自动变速箱(AT),195.0,9.6,6.6,3年或10万公里,,,,,,,,,,,,,,,,,5219,1878,1807,3088,1612.0,1626.0,,2080.0,MPV,5.0,7.0,521.0,侧滑门,主 / 副,前 / 后,,主 / 副,,上下+前后,大屏,USB/Type-C,,46243,真皮,前 / 后,自动,46243,燃油
sg10660,55385.0,奇瑞,18.0,奇瑞,1081,艾瑞泽5,101041,惠民版 1.5L 手动风尚型,2022,燃油,奇瑞汽车,紧凑型车,5.99,5.99万,4.92万,4.69万,1498.0,1.5,自然吸气,L,4.0,DVVT,120.0,88.0,6300.0,148.0,4900,汽油,92#,多点电喷,铝,国VI b,5挡手动,5.0,手动变速箱(MT),180.0,,6.9,3年或10万公里,,,,,,,,,,,,,,,,,4572,1825,1482,2670,1556.0,1542.0,117.0,1221.0,三厢车,4.0,5.0,430.0,平开门,主 / 副,前 / 后,,主 / 副,,上下,,,,46117,仿皮,前 / 后,手动,46117,燃油
sg10660,42973.0,奇瑞,18.0,奇瑞,1081,艾瑞泽5,101041,惠民版 1.5L 手动风尚型,2023,燃油,奇瑞汽车,紧凑型车,5.99,5.99万,4.92万,4.69万,1498.0,1.5,自然吸气,L,4.0,DVVT,120.0,88.0,6300.0,148.0,4900,汽油,92#,多点电喷,铝,国VI b,5挡手动,5.0,手动变速箱(MT),180.0,,6.9,3年或10万公里,,,,,,,,,,,,,,,,,4572,1825,1482,2670,1556.0,1542.0,117.0,1221.0,三厢车,4.0,5.0,430.0,平开门,主 / 副,前 / 后,,主 / 副,,上下,,,,46117,仿皮,前 / 后,手动,46117,燃油
sg10660,26300.0,奇瑞,18.0,奇瑞,1081,艾瑞泽5,101041,惠民版 1.5L 手动风尚型,2024,燃油,奇瑞汽车,紧凑型车,5.99,5.99万,4.92万,4.69万,1498.0,1.5,自然吸气,L,4.0,DVVT,120.0,88.0,6300.0,148.0,4900,汽油,92#,多点电喷,铝,国VI b,5挡手动,5.0,手动变速箱(MT),180.0,,6.9,3年或10万公里,,,,,,,,,,,,,,,,,4572,1825,1482,2670,1556.0,1542.0,117.0,1221.0,三厢车,4.0,5.0,430.0,平开门,主 / 副,前 / 后,,主 / 副,,上下,,,,46117,仿皮,前 / 后,手动,46117,燃油
