series_name,candidate_autohome_series_id,candidate_source_name,decision,decision_reason,series_suggestions,checked_at
标致508,2299.0,标致508,ready_for_endpoint_verification,unique official suggestion name match,"[{""name"": ""标致508"", ""id"": 2299}, {""name"": ""标致508(进口)"", ""id"": 2191}]",2026-08-24T01:35:20
比亚迪M9,8184.0,比亚迪M9,ready_for_endpoint_verification,unique official suggestion name match,"[{""name"": ""比亚迪M9"", ""id"": 8184}]",2026-08-24T01:35:20
汉,5499.0,汉,ready_for_endpoint_verification,unique official suggestion name match,"[{""name"": ""汉"", ""id"": 5499}, {""name"": ""汉兰达"", ""id"": 771}, {""name"": ""汉L"", ""id"": 7859}]",2026-08-24T01:35:21
江淮A5 PLUS,7251.0,江淮A5 PLUS,ready_for_endpoint_verification,unique official suggestion name match,"[{""name"": ""江淮A5 PLUS"", ""id"": 7251}]",2026-08-24T01:35:21
江淮QX PHEV,7217.0,江淮QX PHEV,ready_for_endpoint_verification,unique official suggestion name match,"[{""name"": ""江淮QX PHEV"", ""id"": 7217}]",2026-08-24T01:35:21
沃兰多,4882.0,沃兰多,ready_for_endpoint_verification,unique official suggestion name match,"[{""name"": ""沃兰多"", ""id"": 4882}]",2026-08-24T01:35:21
沃尔沃C40,6049.0,沃尔沃C40,ready_for_endpoint_verification,unique official suggestion name match,"[{""name"": ""沃尔沃C40"", ""id"": 6049}]",2026-08-24T01:35:22
沃尔沃ES90,8050.0,沃尔沃ES90,ready_for_endpoint_verification,unique official suggestion name match,"[{""name"": ""沃尔沃ES90"", ""id"": 8050}, {""name"": ""沃尔沃ES90(海外)"", ""id"": 8032}]",2026-08-24T01:35:22
沃尔沃S90新能源,,,manual_or_missing,no exact name match; do not auto-accept alias,"[{""name"": ""沃尔沃S90新能源(进口)"", ""id"": 5647}]",2026-08-24T01:35:22
海豹06DM-i,,,manual_or_missing,no exact name match; do not auto-accept alias,"[{""name"": ""海豹06 DM-i旅行版"", ""id"": 8201}]",2026-08-24T01:35:22
海豹07DM-i,7822.0,海豹07 DM-i,ready_for_endpoint_verification,unique official suggestion name match,"[{""name"": ""海豹07 DM-i"", ""id"": 7822}]",2026-08-24T01:35:22
海马8S,4770.0,海马8S,ready_for_endpoint_verification,unique official suggestion name match,"[{""name"": ""海马8S"", ""id"": 4770}]",2026-08-24T01:35:23
海马INJOY,7867.0,海马INJOY,ready_for_endpoint_verification,unique official suggestion name match,"[{""name"": ""海马INJOY"", ""id"": 7867}]",2026-08-24T01:35:23
